		timesteps		t		Temperature		Kin		Pot		TotalE		MSD
		0		0		291.526		18.8413		-43.9281		-25.0868		0.00743876
		60		6e-14		208.726		13.49		-38.5768		-25.0869		0.0591642
		120		1.2e-13		96.2681		6.2218		-31.3084		-25.0866		0.162018
		180		1.8e-13		124.97		8.07684		-33.1636		-25.0868		0.217656
		240		2.4e-13		128.576		8.30987		-33.3966		-25.0867		0.246032
		300		3e-13		135.342		8.74713		-33.8339		-25.0867		0.255408
		360		3.6e-13		138.166		8.92966		-34.0164		-25.0867		0.251305
		420		4.2e-13		145.906		9.4299		-34.5166		-25.0867		0.237217
		480		4.8e-13		154.297		9.97223		-35.059		-25.0867		0.218748
		540		5.4e-13		159.609		10.3155		-35.4023		-25.0867		0.20257
		600		6e-13		159.179		10.2877		-35.3745		-25.0867		0.193351
		660		6.6e-13		158.218		10.2256		-35.3124		-25.0868		0.190623
		720		7.2e-13		147.958		9.56251		-34.6492		-25.0867		0.191451
		780		7.8e-13		151.223		9.77355		-34.8603		-25.0867		0.188164
		840		8.4e-13		152.893		9.88146		-34.9682		-25.0867		0.183412
		900		9e-13		155.653		10.0598		-35.1466		-25.0867		0.1795
		960		9.6e-13		153.731		9.93562		-35.0224		-25.0867		0.177899
		1020		1.02e-12		151.126		9.7673		-34.854		-25.0867		0.176475
		1080		1.08e-12		158.182		10.2233		-35.31		-25.0868		0.173636
		1140		1.14e-12		154.553		9.98874		-35.0755		-25.0867		0.174376
		1200		1.2e-12		156.353		10.1051		-35.1919		-25.0868		0.176867
		1260		1.26e-12		151.46		9.78883		-34.8756		-25.0867		0.181584
		1320		1.32e-12		151.027		9.76086		-34.8476		-25.0867		0.185291
		1380		1.38e-12		154.213		9.96677		-35.0535		-25.0867		0.18766
		1440		1.44e-12		154.469		9.98331		-35.0701		-25.0867		0.190893
		1500		1.5e-12		150.919		9.7539		-34.8406		-25.0867		0.194988
		1560		1.56e-12		153.188		9.90057		-34.9873		-25.0867		0.197277
		1620		1.62e-12		151.649		9.80105		-34.8878		-25.0867		0.199462
		1680		1.68e-12		148.997		9.62966		-34.7164		-25.0867		0.200664
		1740		1.74e-12		149.372		9.65392		-34.7407		-25.0867		0.199583
		1800		1.8e-12		151.319		9.77974		-34.8665		-25.0867		0.196196
		1860		1.86e-12		154.61		9.99243		-35.0792		-25.0867		0.191247
		1920		1.92e-12		153.527		9.92244		-35.0092		-25.0867		0.187395
		1980		1.98e-12		152.852		9.87882		-34.9655		-25.0867		0.183729
		2040		2.04e-12		155.708		10.0634		-35.1502		-25.0867		0.180046
		2100		2.1e-12		153.971		9.95116		-35.0379		-25.0867		0.178147
		2160		2.16e-12		156.667		10.1254		-35.2121		-25.0867		0.17696
		2220		2.22e-12		154.207		9.96641		-35.0531		-25.0867		0.17819
		2280		2.28e-12		153.694		9.93327		-35.02		-25.0867		0.180072
		2340		2.34e-12		153.141		9.89747		-34.9842		-25.0867		0.182159
		2400		2.4e-12		152.248		9.83979		-34.9265		-25.0867		0.184431
		2460		2.46e-12		155.781		10.0681		-35.1549		-25.0867		0.186337
		2520		2.52e-12		155.627		10.0582		-35.1449		-25.0867		0.190341
		2580		2.58e-12		152.92		9.8832		-34.9699		-25.0867		0.196407
		2640		2.64e-12		150.452		9.72373		-34.8105		-25.0867		0.202556
		2700		2.7e-12		148.779		9.61557		-34.7023		-25.0867		0.206947
		2760		2.76e-12		150.945		9.7556		-34.8423		-25.0867		0.207973
		2820		2.82e-12		152.107		9.83066		-34.9174		-25.0867		0.207014
		2880		2.88e-12		148.508		9.5981		-34.6848		-25.0867		0.205009
		2940		2.94e-12		153.192		9.90079		-34.9875		-25.0867		0.199343
		3000		3e-12		157.841		10.2012		-35.288		-25.0867		0.193254
		3060		3.06e-12		159.653		10.3183		-35.4051		-25.0867		0.19131
		3120		3.12e-12		154.37		9.97692		-35.0636		-25.0867		0.195124
		3180		3.18e-12		153.131		9.89686		-34.9836		-25.0868		0.201056
		3240		3.24e-12		147.801		9.55235		-34.6391		-25.0867		0.206814
		3300		3.3e-12		155.672		10.0611		-35.1478		-25.0868		0.209861
		3360		3.36e-12		144.958		9.36861		-34.4553		-25.0867		0.215099
		3420		3.42e-12		145.571		9.40827		-34.495		-25.0867		0.21455
		3480		3.48e-12		155.25		10.0338		-35.1206		-25.0868		0.20859
		3540		3.54e-12		149.212		9.6436		-34.7303		-25.0867		0.20431
		3600		3.6e-12		151.497		9.79128		-34.878		-25.0867		0.197276
		3660		3.66e-12		159.759		10.3252		-35.412		-25.0868		0.18942
		3720		3.72e-12		155.653		10.0598		-35.1466		-25.0867		0.186661
		3780		3.78e-12		153.213		9.90214		-34.9889		-25.0867		0.18621
		3840		3.84e-12		152.513		9.8569		-34.9436		-25.0867		0.185191
		3900		3.9e-12		158.913		10.2705		-35.3573		-25.0868		0.183674
		3960		3.96e-12		152.507		9.85653		-34.9433		-25.0867		0.186455
		4020		4.02e-12		153.269		9.90578		-34.9925		-25.0867		0.189132
		4080		4.08e-12		154.147		9.96251		-35.0492		-25.0867		0.191857
		4140		4.14e-12		154.152		9.96282		-35.0496		-25.0867		0.19591
		4200		4.2e-12		151.619		9.79913		-34.8859		-25.0867		0.200471
		4260		4.26e-12		152.812		9.87625		-34.963		-25.0867		0.203905
		4320		4.32e-12		146.464		9.46597		-34.5527		-25.0867		0.206868
		4380		4.38e-12		147.168		9.51148		-34.5982		-25.0867		0.204169
		4440		4.44e-12		155.142		10.0268		-35.1136		-25.0867		0.196163
		4500		4.5e-12		154.722		9.99968		-35.0864		-25.0867		0.189695
		4560		4.56e-12		151.954		9.82081		-34.9075		-25.0867		0.184039
		4620		4.62e-12		158.869		10.2677		-35.3545		-25.0868		0.177334
		4680		4.68e-12		153.327		9.90952		-34.9962		-25.0867		0.174521
		4740		4.74e-12		152.978		9.88695		-34.9737		-25.0867		0.172025
		4800		4.8e-12		155.105		10.0244		-35.1111		-25.0867		0.168464
		4860		4.86e-12		161.934		10.4658		-35.5525		-25.0868		0.166275
		4920		4.92e-12		156.074		10.0871		-35.1738		-25.0867		0.170816
		4980		4.98e-12		150.215		9.70837		-34.7951		-25.0867		0.177356
		5040		5.04e-12		150.746		9.74269		-34.8294		-25.0867		0.18075
		5100		5.1e-12		151.345		9.78144		-34.8682		-25.0867		0.181341
		5160		5.16e-12		153.012		9.88917		-34.9759		-25.0867		0.18
		5220		5.22e-12		158.058		10.2153		-35.302		-25.0868		0.177992
		5280		5.28e-12		155.669		10.0609		-35.1476		-25.0867		0.179761
		5340		5.34e-12		151.39		9.7843		-34.871		-25.0867		0.183913
		5400		5.4e-12		152.266		9.84092		-34.9277		-25.0868		0.18599
		5460		5.46e-12		150.253		9.71085		-34.7976		-25.0867		0.186052
		5520		5.52e-12		154.617		9.99288		-35.0796		-25.0868		0.183948
		5580		5.58e-12		150.495		9.72647		-34.8132		-25.0867		0.182677
		5640		5.64e-12		153.73		9.93559		-35.0223		-25.0867		0.178853
		5700		5.7e-12		157.537		10.1816		-35.2684		-25.0867		0.174492
		5760		5.76e-12		161.014		10.4063		-35.4931		-25.0868		0.172972
		5820		5.82e-12		155.883		10.0747		-35.1614		-25.0867		0.17621
		5880		5.88e-12		152.916		9.88295		-34.9697		-25.0867		0.180479
		5940		5.94e-12		154.879		10.0098		-35.0966		-25.0868		0.182785
		6000		6e-12		152.721		9.87037		-34.9571		-25.0867		0.185079
		6060		6.06e-12		150.277		9.71237		-34.7991		-25.0867		0.187094
		6120		6.12e-12		150.748		9.74287		-34.8296		-25.0867		0.186441
		6180		6.18e-12		152.802		9.87562		-34.9623		-25.0867		0.183386
		6240		6.24e-12		159.508		10.309		-35.3958		-25.0868		0.180856
		6300		6.3e-12		155.141		10.0268		-35.1135		-25.0867		0.183555
		6360		6.36e-12		149.438		9.65819		-34.7449		-25.0867		0.18833
		6420		6.42e-12		151.266		9.77631		-34.8631		-25.0867		0.190617
		6480		6.48e-12		151.207		9.77248		-34.8592		-25.0867		0.190894
		6540		6.54e-12		153.786		9.93916		-35.0259		-25.0867		0.189921
		6600		6.6e-12		155.355		10.0406		-35.1273		-25.0867		0.189966
		6660		6.66e-12		154.318		9.97359		-35.0603		-25.0868		0.192334
		6720		6.72e-12		150.117		9.70205		-34.7888		-25.0867		0.195229
		6780		6.78e-12		155.406		10.0439		-35.1306		-25.0868		0.19563
		6840		6.84e-12		152.321		9.84451		-34.9312		-25.0867		0.197093
		6900		6.9e-12		152.442		9.85232		-34.9391		-25.0867		0.198128
		6960		6.96e-12		151.332		9.7806		-34.8673		-25.0867		0.19906
		7020		7.02e-12		149.238		9.64526		-34.732		-25.0867		0.19923
		7080		7.08e-12		152.492		9.85553		-34.9423		-25.0867		0.196948
		7140		7.14e-12		156.547		10.1176		-35.2044		-25.0867		0.194669
		7200		7.2e-12		154.345		9.9753		-35.062		-25.0867		0.19578
		7260		7.26e-12		148.129		9.57361		-34.6603		-25.0867		0.198277
		7320		7.32e-12		152.545		9.85897		-34.9457		-25.0868		0.197231
		7380		7.38e-12		151.405		9.78532		-34.8721		-25.0867		0.195274
		7440		7.44e-12		153.964		9.95066		-35.0374		-25.0867		0.192185
		7500		7.5e-12		153.239		9.90386		-34.9906		-25.0867		0.189354
		7560		7.56e-12		148.653		9.60746		-34.6942		-25.0867		0.185272
		7620		7.62e-12		156.7		10.1275		-35.2143		-25.0867		0.176376
		7680		7.68e-12		162.674		10.5136		-35.6004		-25.0868		0.169132
		7740		7.74e-12		155.682		10.0617		-35.1484		-25.0867		0.168817
		7800		7.8e-12		150.438		9.7228		-34.8095		-25.0867		0.170602
		7860		7.86e-12		153.74		9.93623		-35.023		-25.0868		0.170208
		7920		7.92e-12		152.569		9.86056		-34.9473		-25.0867		0.168876
		7980		7.98e-12		156.72		10.1288		-35.2155		-25.0867		0.166193
		8040		8.04e-12		158.741		10.2594		-35.3462		-25.0867		0.165574
		8100		8.1e-12		155.289		10.0363		-35.1231		-25.0867		0.169483
		8160		8.16e-12		152.599		9.86249		-34.9492		-25.0867		0.17447
		8220		8.22e-12		153.444		9.91706		-35.0038		-25.0868		0.178011
		8280		8.28e-12		149.249		9.64598		-34.7327		-25.0867		0.180446
		8340		8.34e-12		156.209		10.0958		-35.1825		-25.0868		0.179472
		8400		8.4e-12		152.571		9.86064		-34.9474		-25.0867		0.179941
		8460		8.46e-12		151.854		9.81432		-34.9011		-25.0867		0.179612
		8520		8.52e-12		155.967		10.0801		-35.1669		-25.0867		0.177329
		8580		8.58e-12		155.384		10.0424		-35.1292		-25.0867		0.176449
		8640		8.64e-12		155.207		10.0311		-35.1178		-25.0867		0.177309
		8700		8.7e-12		156.361		10.1056		-35.1924		-25.0867		0.179893
		8760		8.76e-12		152.831		9.87744		-34.9642		-25.0867		0.184483
		8820		8.82e-12		151.345		9.78141		-34.8682		-25.0867		0.188156
		8880		8.88e-12		149.289		9.64853		-34.7353		-25.0867		0.189713
		8940		8.94e-12		148.273		9.58285		-34.6696		-25.0867		0.1874
		9000		9e-12		154.714		9.99918		-35.0859		-25.0868		0.180634
		9060		9.06e-12		158.337		10.2333		-35.3201		-25.0867		0.174854
		9120		9.12e-12		157.462		10.1768		-35.2635		-25.0867		0.173588
		9180		9.18e-12		151.594		9.79751		-34.8842		-25.0867		0.176185
		9240		9.24e-12		155.812		10.0701		-35.1569		-25.0868		0.178199
		9300		9.3e-12		154.197		9.96575		-35.0525		-25.0867		0.181803
		9360		9.36e-12		151.994		9.82338		-34.9101		-25.0867		0.185756
		9420		9.42e-12		155.449		10.0467		-35.1334		-25.0868		0.188144
		9480		9.48e-12		151.845		9.81377		-34.9005		-25.0867		0.191915
		9540		9.54e-12		149.122		9.63775		-34.7245		-25.0867		0.194624
		9600		9.6e-12		153.858		9.94385		-35.0306		-25.0868		0.194098
		9660		9.66e-12		150.892		9.75215		-34.8389		-25.0867		0.193876
		9720		9.72e-12		151.678		9.80293		-34.8897		-25.0867		0.19214
		9780		9.78e-12		157.139		10.1559		-35.2427		-25.0867		0.189332
		9840		9.84e-12		153.586		9.92626		-35.013		-25.0867		0.190043
		9900		9.9e-12		148.024		9.56679		-34.6535		-25.0867		0.190727
		9960		9.96e-12		154.02		9.95433		-35.0411		-25.0868		0.187342
		10020		1.002e-11		150.539		9.72936		-34.8161		-25.0867		0.183764
		10080		1.008e-11		156.938		10.1429		-35.2297		-25.0868		0.17845
		10140		1.014e-11		159.926		10.336		-35.4228		-25.0868		0.175517
		10200		1.02e-11		151.98		9.82246		-34.9092		-25.0867		0.177896
		10260		1.026e-11		146.003		9.43616		-34.5229		-25.0867		0.178943
		10320		1.032e-11		156.576		10.1195		-35.2062		-25.0867		0.173452
		10380		1.038e-11		159.957		10.338		-35.4248		-25.0868		0.170378
		10440		1.044e-11		149.38		9.65444		-34.7412		-25.0867		0.172213
		10500		1.05e-11		153.469		9.91871		-35.0055		-25.0868		0.170108
		10560		1.056e-11		161.285		10.4239		-35.5106		-25.0867		0.166915
		10620		1.062e-11		157.468		10.1772		-35.2639		-25.0867		0.17001
		10680		1.068e-11		152.894		9.88155		-34.9683		-25.0867		0.177217
		10740		1.074e-11		149.022		9.63127		-34.718		-25.0867		0.184487
		10800		1.08e-11		149.026		9.63157		-34.7183		-25.0867		0.18831
		10860		1.086e-11		150.971		9.75723		-34.844		-25.0867		0.188142
		10920		1.092e-11		151.82		9.81212		-34.8989		-25.0867		0.186042
		10980		1.098e-11		148.893		9.62295		-34.7097		-25.0867		0.182635
		11040		1.104e-11		155.801		10.0694		-35.1562		-25.0867		0.176332
		11100		1.11e-11		156.965		10.1446		-35.2314		-25.0867		0.17232
		11160		1.116e-11		155.813		10.0702		-35.1569		-25.0867		0.171767
		11220		1.122e-11		153.531		9.92274		-35.0095		-25.0867		0.173038
		11280		1.128e-11		158.483		10.2427		-35.3295		-25.0868		0.174913
		11340		1.134e-11		150.367		9.71823		-34.805		-25.0867		0.181052
		11400		1.14e-11		149.364		9.65338		-34.7401		-25.0867		0.185387
		11460		1.146e-11		153.026		9.89007		-34.9768		-25.0868		0.186299
		11520		1.152e-11		153.081		9.89365		-34.9804		-25.0867		0.186824
		11580		1.158e-11		155.231		10.0326		-35.1193		-25.0868		0.187922
		11640		1.164e-11		150.433		9.72246		-34.8092		-25.0867		0.190575
		11700		1.17e-11		156.262		10.0992		-35.186		-25.0868		0.192093
