		timesteps		t		Temperature		Kin		Pot		TotalE		MSD
		0		0		49.0197		3.16814		-43.9281		-40.76		0.00743876
		60		6e-14		36.1024		2.3333		-43.0933		-40.76		0.00999846
		120		1.2e-13		13.8279		0.893699		-41.6537		-40.76		0.0292843
		180		1.8e-13		12.6326		0.816444		-41.5764		-40.76		0.0398242
		240		2.4e-13		22.3536		1.44472		-42.2047		-40.76		0.0399859
		300		3e-13		24.7626		1.60041		-42.3604		-40.76		0.0376235
		360		3.6e-13		23.2315		1.50145		-42.2614		-40.76		0.0351184
		420		4.2e-13		25.4852		1.64711		-42.4071		-40.76		0.0315376
		480		4.8e-13		28.5821		1.84726		-42.6073		-40.76		0.028658
		540		5.4e-13		27.2288		1.75979		-42.5198		-40.76		0.0288421
		600		6e-13		23.5233		1.52031		-42.2803		-40.76		0.0309752
		660		6.6e-13		22.4666		1.45202		-42.212		-40.76		0.0320992
		720		7.2e-13		24.4699		1.58149		-42.3415		-40.76		0.0313282
		780		7.8e-13		25.7771		1.66598		-42.426		-40.76		0.0301899
		840		8.4e-13		25.1727		1.62691		-42.3869		-40.76		0.0297619
		900		9e-13		24.6681		1.5943		-42.3543		-40.76		0.0296641
		960		9.6e-13		25.0595		1.6196		-42.3796		-40.76		0.0295178
		1020		1.02e-12		25.3104		1.63581		-42.3958		-40.76		0.0295899
		1080		1.08e-12		24.3994		1.57693		-42.3369		-40.76		0.0300042
		1140		1.14e-12		23.8624		1.54223		-42.3022		-40.76		0.030041
		1200		1.2e-12		24.6638		1.59402		-42.354		-40.76		0.0292835
		1260		1.26e-12		25.5532		1.6515		-42.4115		-40.76		0.0283472
		1320		1.32e-12		25.3372		1.63754		-42.3975		-40.76		0.0279484
		1380		1.38e-12		24.9431		1.61207		-42.3721		-40.76		0.0279663
		1440		1.44e-12		25.3879		1.64082		-42.4008		-40.76		0.0281226
		1500		1.5e-12		25.6558		1.65814		-42.4181		-40.76		0.0287844
		1560		1.56e-12		24.8642		1.60697		-42.367		-40.76		0.030144
		1620		1.62e-12		24.2519		1.5674		-42.3274		-40.76		0.0315221
		1680		1.68e-12		24.3054		1.57086		-42.3309		-40.76		0.0323775
		1740		1.74e-12		23.6623		1.5293		-42.2893		-40.76		0.0327135
		1800		1.8e-12		23.1395		1.4955		-42.2555		-40.76		0.0320461
		1860		1.86e-12		24.5644		1.5876		-42.3476		-40.76		0.0300102
		1920		1.92e-12		26.8834		1.73748		-42.4975		-40.76		0.0277838
		1980		1.98e-12		27.1123		1.75227		-42.5123		-40.76		0.027241
		2040		2.04e-12		25.5454		1.651		-42.411		-40.76		0.02863
		2100		2.1e-12		24.0717		1.55576		-42.3158		-40.76		0.0306867
		2160		2.16e-12		23.2577		1.50315		-42.2631		-40.76		0.0320833
		2220		2.22e-12		23.2268		1.50115		-42.2611		-40.76		0.0320242
		2280		2.28e-12		23.7599		1.5356		-42.2956		-40.76		0.0304324
		2340		2.34e-12		25.1698		1.62672		-42.3867		-40.76		0.0278603
		2400		2.4e-12		26.9243		1.74011		-42.5001		-40.76		0.0256022
		2460		2.46e-12		27.3474		1.76746		-42.5275		-40.76		0.025146
		2520		2.52e-12		25.5983		1.65442		-42.4144		-40.76		0.026819
		2580		2.58e-12		23.4917		1.51827		-42.2783		-40.76		0.0291487
		2640		2.64e-12		23.4808		1.51756		-42.2776		-40.76		0.0303684
		2700		2.7e-12		24.8017		1.60293		-42.3629		-40.76		0.0304145
		2760		2.76e-12		25.137		1.62461		-42.3846		-40.76		0.0303343
		2820		2.82e-12		24.8233		1.60433		-42.3643		-40.76		0.0304552
		2880		2.88e-12		24.9325		1.61139		-42.3714		-40.76		0.0306002
