		timesteps		t		Temperature		Kin		Pot		TotalE		MSD
		0		0		652.413		42.1654		-43.9281		-1.76272		0.00743876
		60		6e-14		425.012		27.4685		-29.2312		-1.76274		0.129464
		120		1.2e-13		289.956		18.7399		-20.5026		-1.76277		0.31909
		180		1.8e-13		322.614		20.8506		-22.6132		-1.76267		0.440344
		240		2.4e-13		327.509		21.1669		-22.9296		-1.76265		0.535584
		300		3e-13		319.42		20.6441		-22.4066		-1.76255		0.615465
		360		3.6e-13		322.234		20.826		-22.5886		-1.76262		0.679777
		420		4.2e-13		307.96		19.9035		-21.6661		-1.76261		0.730498
		480		4.8e-13		317.73		20.5349		-22.2976		-1.76264		0.757799
		540		5.4e-13		323.881		20.9324		-22.6951		-1.76267		0.772665
		600		6e-13		323.183		20.8873		-22.65		-1.76269		0.786187
		660		6.6e-13		324.217		20.9542		-22.7168		-1.76266		0.796079
		720		7.2e-13		324.715		20.9864		-22.749		-1.76263		0.801497
		780		7.8e-13		340.329		21.9955		-23.7582		-1.76275		0.800923
		840		8.4e-13		313.479		20.2602		-22.0227		-1.76256		0.801835
		900		9e-13		327.618		21.1739		-22.9366		-1.76264		0.795302
		960		9.6e-13		329.814		21.3159		-23.0785		-1.76263		0.794246
		1020		1.02e-12		326.021		21.0707		-22.8334		-1.76266		0.799871
		1080		1.08e-12		324.666		20.9832		-22.7457		-1.76256		0.804991
		1140		1.14e-12		333.539		21.5566		-23.3193		-1.76264		0.81152
		1200		1.2e-12		338.284		21.8633		-23.6259		-1.76267		0.821762
		1260		1.26e-12		330.031		21.3299		-23.0926		-1.76265		0.840094
		1320		1.32e-12		325.093		21.0108		-22.7734		-1.76268		0.860942
		1380		1.38e-12		338.297		21.8641		-23.6268		-1.76268		0.878025
		1440		1.44e-12		324.254		20.9565		-22.7191		-1.76257		0.904268
		1500		1.5e-12		331.198		21.4053		-23.1679		-1.76261		0.93443
		1560		1.56e-12		336.075		21.7205		-23.4831		-1.76261		0.967964
		1620		1.62e-12		322.137		20.8197		-22.5822		-1.76253		1.00767
		1680		1.68e-12		334.05		21.5896		-23.3522		-1.76259		1.04636
		1740		1.74e-12		323.876		20.9321		-22.6947		-1.7626		1.08908
		1800		1.8e-12		316.536		20.4577		-22.2203		-1.76261		1.12416
		1860		1.86e-12		305.529		19.7463		-21.5089		-1.76255		1.14614
		1920		1.92e-12		321.669		20.7894		-22.5521		-1.76265		1.15337
		1980		1.98e-12		324.185		20.9521		-22.7146		-1.76256		1.15855
		2040		2.04e-12		319.25		20.6331		-22.3957		-1.76262		1.16453
		2100		2.1e-12		324.45		20.9692		-22.7319		-1.76267		1.16901
		2160		2.16e-12		336.969		21.7783		-23.5409		-1.76262		1.17184
		2220		2.22e-12		335.603		21.69		-23.4527		-1.76266		1.18465
		2280		2.28e-12		326.318		21.0899		-22.8525		-1.76262		1.21419
		2340		2.34e-12		326.396		21.095		-22.8576		-1.76259		1.24459
		2400		2.4e-12		317.943		20.5487		-22.3112		-1.76259		1.26489
		2460		2.46e-12		315.839		20.4127		-22.1753		-1.7626		1.2698
		2520		2.52e-12		323.414		20.9022		-22.6649		-1.76267		1.26426
		2580		2.58e-12		334.455		21.6158		-23.3785		-1.76264		1.26681
		2640		2.64e-12		330.398		21.3536		-23.1163		-1.76265		1.28796
		2700		2.7e-12		311.638		20.1411		-21.9037		-1.76259		1.31495
