		timesteps		t		Temperature		Kin		Pot		TotalE		MSD
		0		0		914.704		59.1173		-43.9281		15.1892		0.00743876
		60		6e-14		589.935		38.1275		-22.9379		15.1895		0.180998
		120		1.2e-13		440.429		28.4649		-13.2759		15.189		0.451604
		180		1.8e-13		446.441		28.8535		-13.6643		15.1891		0.649355
		240		2.4e-13		455.509		29.4395		-14.2504		15.1892		0.802764
		300		3e-13		451.05		29.1514		-13.9623		15.1891		0.929764
		360		3.6e-13		453.877		29.3341		-14.145		15.1891		1.03802
		420		4.2e-13		452.35		29.2354		-14.0462		15.1892		1.13125
		480		4.8e-13		455.364		29.4302		-14.2413		15.1889		1.20805
		540		5.4e-13		448.075		28.9591		-13.77		15.1891		1.27563
		600		6e-13		455.03		29.4086		-14.2193		15.1893		1.34655
		660		6.6e-13		450.522		29.1173		-13.928		15.1893		1.42563
		720		7.2e-13		447.243		28.9053		-13.7159		15.1894		1.51227
		780		7.8e-13		459.769		29.7149		-14.5257		15.1892		1.61601
		840		8.4e-13		448.938		29.0148		-13.8255		15.1893		1.73098
		900		9e-13		467.77		30.232		-15.0428		15.1892		1.84535
		960		9.6e-13		443.229		28.6459		-13.4566		15.1893		1.97676
		1020		1.02e-12		442.798		28.618		-13.4288		15.1892		2.1041
		1080		1.08e-12		448.257		28.9708		-13.7817		15.1892		2.22542
		1140		1.14e-12		444.977		28.7589		-13.5696		15.1892		2.34877
		1200		1.2e-12		450.121		29.0913		-13.9021		15.1893		2.46498
		1260		1.26e-12		454.321		29.3627		-14.1736		15.1892		2.57024
		1320		1.32e-12		463.239		29.9392		-14.75		15.1891		2.67804
		1380		1.38e-12		427.822		27.6501		-12.4607		15.1894		2.80644
		1440		1.44e-12		454.969		29.4047		-14.2157		15.189		2.94001
		1500		1.5e-12		425.884		27.5249		-12.3357		15.1892		3.08974
		1560		1.56e-12		423.646		27.3803		-12.1911		15.1892		3.23323
		1620		1.62e-12		439.145		28.3819		-13.1927		15.1892		3.37895
		1680		1.68e-12		463.214		29.9375		-14.7485		15.1891		3.55512
		1740		1.74e-12		445.102		28.7669		-13.5778		15.1892		3.74283
		1800		1.8e-12		442.845		28.6211		-13.4319		15.1892		3.91455
		1860		1.86e-12		428.867		27.7177		-12.5283		15.1894		4.07664
		1920		1.92e-12		448.822		29.0074		-13.8182		15.1892		4.23486
		1980		1.98e-12		439.64		28.4139		-13.2248		15.1891		4.41015
		2040		2.04e-12		433.583		28.0224		-12.8332		15.1893		4.60506
		2100		2.1e-12		442.034		28.5686		-13.3793		15.1894		4.81296
		2160		2.16e-12		446.066		28.8293		-13.6401		15.1892		5.0019
		2220		2.22e-12		430.839		27.8451		-12.6558		15.1893		5.16654
		2280		2.28e-12		472.298		30.5246		-15.3356		15.1891		5.33876
		2340		2.34e-12		452.588		29.2508		-14.0616		15.1892		5.54112
		2400		2.4e-12		466.088		30.1233		-14.9342		15.189		5.72112
		2460		2.46e-12		442.728		28.6135		-13.4242		15.1893		5.866
		2520		2.52e-12		448.416		28.9811		-13.7919		15.1892		6.00138
		2580		2.58e-12		457.714		29.5821		-14.3929		15.1891		6.14276
		2640		2.64e-12		435.855		28.1693		-12.98		15.1893		6.30857
		2700		2.7e-12		470.6		30.4149		-15.2258		15.1891		6.50276
		2760		2.76e-12		443.526		28.6651		-13.4758		15.1893		6.72208
		2820		2.82e-12		441.421		28.5291		-13.3398		15.1893		6.9107
		2880		2.88e-12		440.563		28.4736		-13.2844		15.1892		7.06942
		2940		2.94e-12		422.302		27.2934		-12.1041		15.1893		7.21693
		3000		3e-12		435.609		28.1534		-12.9642		15.1892		7.34381
		3060		3.06e-12		445.77		28.8101		-13.621		15.1891		7.46022
		3120		3.12e-12		448.232		28.9693		-13.7801		15.1892		7.54902
		3180		3.18e-12		450.713		29.1296		-13.9404		15.1892		7.67703
		3240		3.24e-12		444.402		28.7217		-13.5323		15.1893		7.93159
		3300		3.3e-12		448.609		28.9936		-13.8043		15.1893		8.23977
		3360		3.36e-12		432.017		27.9212		-12.7321		15.1892		8.50211
		3420		3.42e-12		443.013		28.6319		-13.4428		15.1891		8.72449
		3480		3.48e-12		448.17		28.9652		-13.776		15.1892		8.8854
		3540		3.54e-12		457.606		29.5751		-14.3859		15.1892		9.02477
		3600		3.6e-12		453.23		29.2923		-14.1031		15.1892		9.20506
		3660		3.66e-12		455.166		29.4174		-14.2282		15.1892		9.40983
		3720		3.72e-12		461.578		29.8318		-14.6426		15.1892		9.64037
		3780		3.78e-12		440.978		28.5004		-13.3112		15.1892		9.88157
		3840		3.84e-12		444.434		28.7238		-13.5346		15.1891		10.0698
		3900		3.9e-12		439.289		28.3912		-13.202		15.1892		10.2307
		3960		3.96e-12		435.32		28.1347		-12.9457		15.1891		10.415
		4020		4.02e-12		438.915		28.3671		-13.1778		15.1893		10.6268
		4080		4.08e-12		458.95		29.662		-14.4728		15.1892		10.845
		4140		4.14e-12		434.809		28.1017		-12.9124		15.1893		11.0592
		4200		4.2e-12		421.302		27.2287		-12.0394		15.1893		11.2493
		4260		4.26e-12		441.849		28.5567		-13.3674		15.1893		11.4162
		4320		4.32e-12		435.801		28.1658		-12.9765		15.1893		11.5657
		4380		4.38e-12		456.812		29.5237		-14.3347		15.1891		11.7618
		4440		4.44e-12		445.303		28.7799		-13.5907		15.1892		11.9609
		4500		4.5e-12		446.308		28.8449		-13.6556		15.1892		12.1756
		4560		4.56e-12		446.876		28.8816		-13.6924		15.1892		12.3992
		4620		4.62e-12		427.408		27.6234		-12.4341		15.1893		12.5692
		4680		4.68e-12		448.167		28.965		-13.7759		15.1891		12.6984
		4740		4.74e-12		441.44		28.5303		-13.341		15.1893		12.8164
		4800		4.8e-12		448.987		29.0181		-13.8287		15.1893		12.9793
		4860		4.86e-12		460.057		29.7335		-14.5443		15.1892		13.1609
		4920		4.92e-12		449.952		29.0804		-13.8911		15.1893		13.2969
		4980		4.98e-12		453.701		29.3227		-14.1335		15.1892		13.4029
		5040		5.04e-12		446.533		28.8594		-13.6702		15.1893		13.4891
		5100		5.1e-12		440.585		28.475		-13.2858		15.1893		13.5788
		5160		5.16e-12		428.847		27.7164		-12.5272		15.1892		13.7167
		5220		5.22e-12		433.403		28.0108		-12.8217		15.1891		13.8839
		5280		5.28e-12		433.678		28.0286		-12.8394		15.1892		14.0999
		5340		5.34e-12		439.885		28.4298		-13.2405		15.1893		14.3368
		5400		5.4e-12		444.544		28.7309		-13.5415		15.1894		14.5622
		5460		5.46e-12		439.947		28.4338		-13.2445		15.1893		14.7719
		5520		5.52e-12		428.584		27.6994		-12.5101		15.1893		14.9178
		5580		5.58e-12		432.116		27.9277		-12.7384		15.1892		15.0121
		5640		5.64e-12		446.124		28.833		-13.644		15.1891		15.1172
		5700		5.7e-12		422.257		27.2905		-12.1011		15.1894		15.2238
		5760		5.76e-12		443.315		28.6515		-13.4624		15.1891		15.2592
		5820		5.82e-12		434.589		28.0875		-12.8983		15.1892		15.304
		5880		5.88e-12		447.465		28.9197		-13.7305		15.1892		15.4162
		5940		5.94e-12		416.344		26.9083		-11.719		15.1894		15.5401
		6000		6e-12		457.432		29.5638		-14.3748		15.189		15.6436
		6060		6.06e-12		456.572		29.5083		-14.3192		15.1891		15.803
		6120		6.12e-12		439.095		28.3787		-13.1895		15.1892		15.9845
		6180		6.18e-12		444.739		28.7435		-13.5542		15.1892		16.1343
		6240		6.24e-12		448.61		28.9936		-13.8045		15.1892		16.2814
		6300		6.3e-12		445.79		28.8114		-13.6223		15.1891		16.4772
		6360		6.36e-12		447.304		28.9093		-13.7201		15.1891		16.6524
		6420		6.42e-12		451.428		29.1758		-13.9868		15.1891		16.7719
		6480		6.48e-12		446.678		28.8688		-13.6796		15.1892		16.9151
		6540		6.54e-12		438.026		28.3096		-13.1204		15.1892		17.0452
		6600		6.6e-12		464.739		30.0361		-14.847		15.1891		17.171
		6660		6.66e-12		424.973		27.466		-12.2766		15.1894		17.3097
		6720		6.72e-12		430.72		27.8374		-12.6482		15.1892		17.4285
		6780		6.78e-12		453.14		29.2865		-14.0973		15.1892		17.5782
		6840		6.84e-12		432.854		27.9754		-12.7861		15.1893		17.7843
		6900		6.9e-12		426.157		27.5425		-12.3533		15.1892		18.0005
		6960		6.96e-12		454.89		29.3995		-14.2104		15.1891		18.2267
		7020		7.02e-12		437.5		28.2756		-13.0863		15.1893		18.4576
		7080		7.08e-12		442.72		28.613		-13.4239		15.1891		18.7136
