		timesteps		t		Temperature		Kin		Pot		TotalE		MSD
		0		0		664.116		42.9218		-43.9281		-1.00632		0.00743876
		60		6e-14		446.097		28.8312		-29.8376		-1.00642		0.132863
		120		1.2e-13		277.635		17.9435		-18.9498		-1.00622		0.336893
		180		1.8e-13		329.512		21.2964		-22.3028		-1.00639		0.462339
		240		2.4e-13		315.635		20.3995		-21.4057		-1.00621		0.559632
		300		3e-13		328.455		21.2281		-22.2344		-1.00629		0.632098
		360		3.6e-13		329.313		21.2835		-22.2898		-1.00628		0.690591
		420		4.2e-13		329.174		21.2745		-22.2808		-1.00626		0.739182
		480		4.8e-13		319.702		20.6624		-21.6686		-1.0062		0.778726
		540		5.4e-13		329.948		21.3245		-22.3308		-1.00626		0.803155
		600		6e-13		326.83		21.123		-22.1292		-1.0062		0.821835
		660		6.6e-13		348.251		22.5075		-23.5138		-1.00633		0.833163
		720		7.2e-13		345.018		22.2985		-23.3048		-1.00629		0.852051
		780		7.8e-13		325.728		21.0518		-22.058		-1.00623		0.880945
		840		8.4e-13		324.789		20.9911		-21.9974		-1.00628		0.905839
		900		9e-13		323.857		20.9309		-21.9371		-1.00621		0.924752
		960		9.6e-13		343.222		22.1825		-23.1888		-1.00632		0.940665
		1020		1.02e-12		334.516		21.6198		-22.626		-1.00618		0.967584
		1080		1.08e-12		337.685		21.8246		-22.8309		-1.00629		1.00572
		1140		1.14e-12		323.852		20.9306		-21.9368		-1.00625		1.0583
		1200		1.2e-12		328.902		21.2569		-22.2632		-1.00627		1.11217
		1260		1.26e-12		331.293		21.4115		-22.4177		-1.00626		1.15683
		1320		1.32e-12		324.849		20.995		-22.0012		-1.0062		1.19204
		1380		1.38e-12		318.849		20.6072		-21.6135		-1.00624		1.22251
		1440		1.44e-12		302.181		19.53		-20.5362		-1.00618		1.24896
		1500		1.5e-12		318.548		20.5877		-21.594		-1.00623		1.25768
		1560		1.56e-12		329.187		21.2754		-22.2816		-1.00622		1.26264
		1620		1.62e-12		325.227		21.0194		-22.0256		-1.00625		1.28628
		1680		1.68e-12		319.354		20.6398		-21.6461		-1.00629		1.32196
		1740		1.74e-12		305.907		19.7707		-20.777		-1.00626		1.36457
		1800		1.8e-12		294.886		19.0585		-20.0647		-1.0062		1.40721
		1860		1.86e-12		326.529		21.1035		-22.1099		-1.00632		1.44655
		1920		1.92e-12		327.896		21.1919		-22.1982		-1.00626		1.49833
		1980		1.98e-12		320.726		20.7285		-21.7347		-1.00622		1.54996
		2040		2.04e-12		320.124		20.6896		-21.6959		-1.00628		1.59698
		2100		2.1e-12		318.378		20.5768		-21.583		-1.00622		1.64656
		2160		2.16e-12		318.167		20.5631		-21.5693		-1.00622		1.69442
		2220		2.22e-12		313.407		20.2555		-21.2617		-1.00623		1.72465
		2280		2.28e-12		320.936		20.7421		-21.7484		-1.00625		1.74875
		2340		2.34e-12		316.39		20.4483		-21.4545		-1.00623		1.78684
		2400		2.4e-12		313.111		20.2363		-21.2425		-1.00619		1.83034
		2460		2.46e-12		313.249		20.2453		-21.2516		-1.00628		1.87059
		2520		2.52e-12		315.028		20.3602		-21.3665		-1.00629		1.91951
		2580		2.58e-12		299.016		19.3254		-20.3316		-1.00619		1.98195
		2640		2.64e-12		309.974		20.0336		-21.0399		-1.00624		2.0425
		2700		2.7e-12		315.638		20.3997		-21.406		-1.0063		2.09485
		2760		2.76e-12		309.4		19.9965		-21.0027		-1.00621		2.13649
		2820		2.82e-12		315.949		20.4198		-21.426		-1.00621		2.18143
		2880		2.88e-12		318.532		20.5867		-21.593		-1.00628		2.24799
		2940		2.94e-12		309.787		20.0215		-21.0277		-1.00619		2.32851
		3000		3e-12		308.609		19.9454		-20.9516		-1.00626		2.41864
		3060		3.06e-12		309.664		20.0136		-21.0198		-1.00623		2.52261
		3120		3.12e-12		304.514		19.6807		-20.687		-1.00621		2.62168
		3180		3.18e-12		307.416		19.8683		-20.8746		-1.0063		2.70692
		3240		3.24e-12		316.598		20.4617		-21.468		-1.00631		2.78469
		3300		3.3e-12		314.715		20.34		-21.3463		-1.00628		2.87351
		3360		3.36e-12		293.901		18.9948		-20.001		-1.00618		2.97735
		3420		3.42e-12		299.593		19.3627		-20.369		-1.00627		3.08324
		3480		3.48e-12		304.545		19.6827		-20.6889		-1.00614		3.17717
		3540		3.54e-12		308.709		19.9519		-20.958		-1.00618		3.26529
		3600		3.6e-12		299.889		19.3818		-20.3881		-1.00629		3.36038
		3660		3.66e-12		298.833		19.3136		-20.3198		-1.00627		3.44751
		3720		3.72e-12		313.987		20.293		-21.2993		-1.00628		3.52492
		3780		3.78e-12		299.557		19.3604		-20.3665		-1.00613		3.61669
		3840		3.84e-12		298.756		19.3086		-20.3148		-1.00623		3.72761
		3900		3.9e-12		301.942		19.5145		-20.5207		-1.00619		3.84046
		3960		3.96e-12		312.249		20.1806		-21.1868		-1.0062		3.95339
		4020		4.02e-12		293.765		18.986		-19.9923		-1.00626		4.0777
		4080		4.08e-12		289.568		18.7148		-19.7211		-1.00626		4.19734
		4140		4.14e-12		308.605		19.9451		-20.9514		-1.00632		4.28879
		4200		4.2e-12		317.39		20.5129		-21.5192		-1.00632		4.36779
		4260		4.26e-12		302.607		19.5575		-20.5636		-1.00618		4.45903
		4320		4.32e-12		307.862		19.8971		-20.9034		-1.00629		4.55614
		4380		4.38e-12		298.1		19.2662		-20.2724		-1.0062		4.66146
		4440		4.44e-12		308.251		19.9223		-20.9286		-1.00632		4.80016
