		timesteps		t		Temperature		Kin		Pot		TotalE		MSD
		0		0		605.244		39.1169		-43.9281		-4.81125		0.00743876
		200		2e-13		284.748		18.4033		-23.2144		-4.81116		0.438519
		400		4e-13		297.382		19.2198		-24.031		-4.81118		0.577197
		600		6e-13		322.031		20.8128		-25.6241		-4.81122		0.591334
		800		8e-13		308.045		19.9089		-24.7201		-4.81113		0.609251
		1000		1e-12		322.057		20.8145		-25.6258		-4.81123		0.626073
		1200		1.2e-12		308.377		19.9304		-24.7416		-4.81117		0.652037
		1400		1.4e-12		309.956		20.0324		-24.8436		-4.81121		0.65236
		1600		1.6e-12		327.809		21.1863		-25.9974		-4.81116		0.61309
		1800		1.8e-12		303.605		19.622		-24.433		-4.81106		0.646434
		2000		2e-12		304.432		19.6754		-24.4866		-4.81115		0.675378
		2200		2.2e-12		321.787		20.7971		-25.6084		-4.81127		0.698669
		2400		2.4e-12		318.036		20.5546		-25.3659		-4.81124		0.721971
		2600		2.6e-12		312.119		20.1723		-24.9834		-4.81117		0.693723
		2800		2.8e-12		313.075		20.234		-25.0453		-4.81123		0.666204
		3000		3e-12		316.423		20.4504		-25.2615		-4.81112		0.65235
		3200		3.2e-12		313.085		20.2347		-25.0459		-4.81119		0.673947
		3400		3.4e-12		314.444		20.3225		-25.1337		-4.81122		0.667482
		3600		3.6e-12		319.141		20.6261		-25.4374		-4.81133		0.681035
		3800		3.8e-12		324.836		20.9941		-25.8054		-4.81127		0.674297
		4000		4e-12		316.754		20.4718		-25.2831		-4.81126		0.683472
		4200		4.2e-12		315.056		20.3621		-25.1732		-4.81118		0.68173
		4400		4.4e-12		316.776		20.4732		-25.2844		-4.81121		0.723277
		4600		4.6e-12		313.093		20.2352		-25.0465		-4.81123		0.733039
		4800		4.8e-12		306.308		19.7967		-24.6079		-4.81121		0.781073
		5000		5e-12		312.473		20.1952		-25.0063		-4.81119		0.760349
		5200		5.2e-12		297.506		19.2278		-24.039		-4.81118		0.7875
		5400		5.4e-12		312.186		20.1766		-24.9878		-4.81119		0.824239
		5600		5.6e-12		300.418		19.416		-24.2273		-4.81125		0.861213
		5800		5.8e-12		308.737		19.9537		-24.7648		-4.81113		0.84709
		6000		6e-12		317.422		20.515		-25.3261		-4.81116		0.896077
		6200		6.2e-12		296.954		19.1921		-24.0032		-4.81114		1.02158
		6400		6.4e-12		312.688		20.209		-25.0202		-4.81121		1.09627
		6600		6.6e-12		307.582		19.8791		-24.6902		-4.81115		1.15088
