		timesteps		t		Temperature		Kin		Pot		TotalE		MSD
		0		0		608.151		39.3048		-43.9281		-4.62332		0.00743876
		200		2e-13		294.344		19.0235		-23.6467		-4.62324		0.433969
		400		4e-13		297.344		19.2173		-23.8406		-4.62322		0.593528
		600		6e-13		315.034		20.3607		-24.9839		-4.62328		0.618099
		800		8e-13		311.323		20.1208		-24.744		-4.62323		0.600865
		1000		1e-12		309.787		20.0216		-24.6448		-4.62322		0.608965
		1200		1.2e-12		303.723		19.6296		-24.2528		-4.62316		0.625609
		1400		1.4e-12		310.273		20.0529		-24.6761		-4.6232		0.61184
		1600		1.6e-12		305.771		19.762		-24.3852		-4.62322		0.623371
		1800		1.8e-12		322.259		20.8276		-25.4509		-4.6233		0.601775
		2000		2e-12		311.276		20.1178		-24.741		-4.62324		0.572975
		2200		2.2e-12		324.051		20.9434		-25.5667		-4.62325		0.550562
		2400		2.4e-12		313.049		20.2324		-24.8556		-4.62324		0.545637
		2600		2.6e-12		326.937		21.1299		-25.7532		-4.62324		0.502062
		2800		2.8e-12		320.026		20.6833		-25.3066		-4.62334		0.542266
		3000		3e-12		321.31		20.7663		-25.3895		-4.62321		0.540948
		3200		3.2e-12		313.461		20.259		-24.8822		-4.62322		0.518418
		3400		3.4e-12		313.482		20.2603		-24.8835		-4.62321		0.492471
		3600		3.6e-12		322.385		20.8358		-25.4589		-4.62319		0.468593
		3800		3.8e-12		321.333		20.7678		-25.391		-4.62324		0.473176
		4000		4e-12		319.316		20.6374		-25.2606		-4.62327		0.507216
		4200		4.2e-12		313.14		20.2382		-24.8614		-4.62315		0.5345
		4400		4.4e-12		312.009		20.1651		-24.7883		-4.62316		0.543078
		4600		4.6e-12		317.988		20.5516		-25.1748		-4.62322		0.519727
		4800		4.8e-12		321.059		20.75		-25.3732		-4.62321		0.478684
		5000		5e-12		323.82		20.9285		-25.5517		-4.62325		0.463968
		5200		5.2e-12		333.649		21.5637		-26.187		-4.62327		0.455359
		5400		5.4e-12		330.284		21.3462		-25.9695		-4.62322		0.468334
		5600		5.6e-12		316.442		20.4517		-25.0748		-4.62317		0.489636
		5800		5.8e-12		329.751		21.3118		-25.9351		-4.62326		0.490864
		6000		6e-12		316.332		20.4445		-25.0678		-4.62323		0.495737
		6200		6.2e-12		311.417		20.1269		-24.7501		-4.62324		0.550661
		6400		6.4e-12		308.46		19.9358		-24.559		-4.62321		0.607707
		6600		6.6e-12		322.264		20.8279		-25.4513		-4.62334		0.646789
		6800		6.8e-12		309.126		19.9788		-24.602		-4.62325		0.715382
		7000		7e-12		309.31		19.9907		-24.6139		-4.62322		0.731639
		7200		7.2e-12		300.375		19.4132		-24.0364		-4.62321		0.71271
		7400		7.4e-12		320.877		20.7383		-25.3615		-4.62322		0.674668
		7600		7.6e-12		310.527		20.0693		-24.6925		-4.6232		0.742218
		7800		7.8e-12		302.341		19.5403		-24.1635		-4.62322		0.798479
		8000		8e-12		318.126		20.5605		-25.1838		-4.62329		0.809717
		8200		8.2e-12		311.544		20.1351		-24.7583		-4.62324		0.810815
		8400		8.4e-12		322.699		20.856		-25.4793		-4.62325		0.783126
		8600		8.6e-12		307.308		19.8613		-24.4846		-4.62324		0.819528
		8800		8.8e-12		308.462		19.9359		-24.5591		-4.62325		0.794091
		9000		9e-12		325.602		21.0436		-25.667		-4.62333		0.764436
		9200		9.2e-12		322.305		20.8306		-25.4538		-4.62324		0.73086
		9400		9.4e-12		338.601		21.8838		-26.5071		-4.62331		0.671787
		9600		9.6e-12		320.379		20.7061		-25.3294		-4.6233		0.708197
		9800		9.8e-12		305.433		19.7402		-24.3633		-4.62319		0.753632
		10000		1e-11		321.024		20.7478		-25.371		-4.62326		0.771189
		10200		1.02e-11		316.643		20.4646		-25.0879		-4.62323		0.804855
		10400		1.04e-11		318.964		20.6147		-25.2379		-4.62327		0.829304
		10600		1.06e-11		324.185		20.9521		-25.5753		-4.6232		0.830892
		10800		1.08e-11		301.6		19.4924		-24.1156		-4.62321		0.941334
		11000		1.1e-11		310.928		20.0953		-24.7186		-4.6233		0.989656
		11200		1.12e-11		311.147		20.1094		-24.7326		-4.62321		0.97933
		11400		1.14e-11		326.031		21.0714		-25.6947		-4.62325		0.922065
