		timesteps		t		Temperature		Kin		Pot		TotalE		MSD
		0		0		378.287		24.4487		-43.9281		-19.4795		0.00743876
		60		6e-14		264.805		17.1144		-36.5939		-19.4795		0.076367
		120		1.2e-13		138.886		8.97618		-28.4554		-19.4793		0.203072
		180		1.8e-13		174.659		11.2882		-30.7677		-19.4794		0.275851
		240		2.4e-13		177.769		11.4892		-30.9686		-19.4794		0.323203
		300		3e-13		173.666		11.2241		-30.7035		-19.4794		0.353093
		360		3.6e-13		177.563		11.4759		-30.9553		-19.4794		0.363883
		420		4.2e-13		182.807		11.8148		-31.2942		-19.4794		0.35943
		480		4.8e-13		194.534		12.5727		-32.0521		-19.4794		0.345071
		540		5.4e-13		193.242		12.4892		-31.9686		-19.4794		0.328836
		600		6e-13		196.48		12.6985		-32.1779		-19.4794		0.309512
		660		6.6e-13		201.399		13.0164		-32.4958		-19.4794		0.288903
		720		7.2e-13		202.449		13.0842		-32.5636		-19.4794		0.27049
		780		7.8e-13		206.858		13.3692		-32.8486		-19.4794		0.255254
		840		8.4e-13		204.311		13.2046		-32.684		-19.4794		0.245865
		900		9e-13		211.008		13.6374		-33.1169		-19.4794		0.240887
		960		9.6e-13		207.057		13.3821		-32.8615		-19.4794		0.244655
		1020		1.02e-12		194.886		12.5955		-32.0749		-19.4794		0.254025
		1080		1.08e-12		199.639		12.9027		-32.3821		-19.4794		0.260436
		1140		1.14e-12		198.072		12.8014		-32.2808		-19.4794		0.266773
		1200		1.2e-12		189.34		12.2371		-31.7164		-19.4794		0.271922
		1260		1.26e-12		190.579		12.3171		-31.7965		-19.4794		0.269306
		1320		1.32e-12		195.166		12.6136		-32.0929		-19.4794		0.259803
		1380		1.38e-12		206.975		13.3768		-32.8562		-19.4794		0.247503
		1440		1.44e-12		203.964		13.1822		-32.6616		-19.4794		0.241219
		1500		1.5e-12		205.464		13.2791		-32.7585		-19.4794		0.239197
		1560		1.56e-12		205.771		13.2989		-32.7783		-19.4794		0.242862
		1620		1.62e-12		197.767		12.7817		-32.2611		-19.4794		0.251711
		1680		1.68e-12		193.723		12.5203		-31.9997		-19.4794		0.258659
		1740		1.74e-12		196.578		12.7048		-32.1842		-19.4794		0.260375
		1800		1.8e-12		202.655		13.0976		-32.577		-19.4794		0.259848
		1860		1.86e-12		203.051		13.1232		-32.6026		-19.4794		0.262537
		1920		1.92e-12		198.167		12.8075		-32.2869		-19.4794		0.269536
		1980		1.98e-12		194.114		12.5456		-32.025		-19.4794		0.276939
		2040		2.04e-12		201.228		13.0053		-32.4848		-19.4794		0.28035
		2100		2.1e-12		197.025		12.7337		-32.2131		-19.4793		0.284485
		2160		2.16e-12		206.372		13.3378		-32.8173		-19.4794		0.288833
		2220		2.22e-12		185.467		11.9868		-31.4661		-19.4793		0.298327
		2280		2.28e-12		195.283		12.6211		-32.1006		-19.4794		0.298567
		2340		2.34e-12		201.753		13.0393		-32.5187		-19.4794		0.294126
		2400		2.4e-12		205.536		13.2838		-32.7632		-19.4794		0.292362
		2460		2.46e-12		193.966		12.536		-32.0154		-19.4794		0.295005
		2520		2.52e-12		194.891		12.5958		-32.0752		-19.4794		0.293294
		2580		2.58e-12		195.489		12.6344		-32.1138		-19.4794		0.287164
		2640		2.64e-12		199.812		12.9138		-32.3932		-19.4794		0.278156
		2700		2.7e-12		201.893		13.0484		-32.5278		-19.4794		0.269893
		2760		2.76e-12		201.839		13.0449		-32.5243		-19.4794		0.264061
		2820		2.82e-12		196.602		12.7064		-32.1857		-19.4794		0.260691
		2880		2.88e-12		198.417		12.8237		-32.3031		-19.4794		0.255663
		2940		2.94e-12		203.833		13.1737		-32.6531		-19.4794		0.249623
		3000		3e-12		208.21		13.4566		-32.936		-19.4794		0.2474
		3060		3.06e-12		200.841		12.9804		-32.4598		-19.4794		0.252338
		3120		3.12e-12		194.59		12.5763		-32.0557		-19.4794		0.257391
		3180		3.18e-12		203.588		13.1579		-32.6373		-19.4794		0.258626
		3240		3.24e-12		198.224		12.8112		-32.2906		-19.4794		0.261903
		3300		3.3e-12		199.772		12.9113		-32.3907		-19.4794		0.264171
		3360		3.36e-12		196.019		12.6687		-32.1481		-19.4794		0.266579
		3420		3.42e-12		201.088		12.9963		-32.4757		-19.4794		0.266483
		3480		3.48e-12		198.518		12.8302		-32.3096		-19.4794		0.267299
		3540		3.54e-12		202.925		13.1151		-32.5944		-19.4794		0.267745
		3600		3.6e-12		203.658		13.1624		-32.6418		-19.4794		0.270771
		3660		3.66e-12		195.979		12.6661		-32.1455		-19.4794		0.277582
		3720		3.72e-12		196.213		12.6813		-32.1606		-19.4794		0.282119
		3780		3.78e-12		193.707		12.5193		-31.9987		-19.4794		0.284826
		3840		3.84e-12		193.437		12.5019		-31.9812		-19.4794		0.283558
		3900		3.9e-12		204.44		13.213		-32.6923		-19.4794		0.278386
		3960		3.96e-12		202.849		13.1101		-32.5895		-19.4794		0.27834
		4020		4.02e-12		192.004		12.4092		-31.8886		-19.4793		0.28067
		4080		4.08e-12		202.02		13.0566		-32.536		-19.4794		0.277327
		4140		4.14e-12		202.029		13.0571		-32.5366		-19.4794		0.276015
		4200		4.2e-12		193.687		12.518		-31.9973		-19.4794		0.275992
		4260		4.26e-12		192.915		12.4681		-31.9475		-19.4794		0.270547
		4320		4.32e-12		197.453		12.7614		-32.2407		-19.4794		0.258967
		4380		4.38e-12		199.689		12.9059		-32.3852		-19.4794		0.244689
		4440		4.44e-12		209.208		13.5211		-33.0005		-19.4794		0.229968
		4500		4.5e-12		215.943		13.9564		-33.4358		-19.4794		0.223076
		4560		4.56e-12		204.809		13.2368		-32.7162		-19.4794		0.230938
		4620		4.62e-12		197.985		12.7958		-32.2752		-19.4794		0.244079
		4680		4.68e-12		189.579		12.2525		-31.7319		-19.4794		0.253607
		4740		4.74e-12		199.326		12.8825		-32.3619		-19.4794		0.253624
		4800		4.8e-12		205.067		13.2535		-32.7329		-19.4794		0.251982
		4860		4.86e-12		203.683		13.164		-32.6434		-19.4794		0.254075
		4920		4.92e-12		195.213		12.6166		-32.096		-19.4794		0.258702
		4980		4.98e-12		198.685		12.841		-32.3204		-19.4794		0.259966
		5040		5.04e-12		194.778		12.5885		-32.0679		-19.4794		0.260261
		5100		5.1e-12		196.197		12.6802		-32.1596		-19.4794		0.255661
		5160		5.16e-12		205.113		13.2565		-32.7359		-19.4794		0.247341
		5220		5.22e-12		202.214		13.0691		-32.5485		-19.4794		0.242989
		5280		5.28e-12		205.566		13.2857		-32.7651		-19.4794		0.240508
		5340		5.34e-12		206.977		13.3769		-32.8563		-19.4794		0.242832
		5400		5.4e-12		194.563		12.5746		-32.054		-19.4794		0.250915
		5460		5.46e-12		193.142		12.4827		-31.9621		-19.4794		0.254399
		5520		5.52e-12		203.941		13.1807		-32.6601		-19.4794		0.252678
		5580		5.58e-12		200.869		12.9821		-32.4615		-19.4794		0.25449
		5640		5.64e-12		197.49		12.7638		-32.2432		-19.4794		0.258369
		5700		5.7e-12		194.897		12.5962		-32.0756		-19.4794		0.260901
		5760		5.76e-12		194.972		12.601		-32.0804		-19.4794		0.259228
		5820		5.82e-12		204.619		13.2245		-32.7039		-19.4794		0.253197
		5880		5.88e-12		208.62		13.4831		-32.9625		-19.4794		0.250838
		5940		5.94e-12		198.245		12.8125		-32.2919		-19.4794		0.255011
		6000		6e-12		198.228		12.8115		-32.2909		-19.4794		0.257409
		6060		6.06e-12		203.615		13.1596		-32.639		-19.4794		0.258408
		6120		6.12e-12		194.651		12.5803		-32.0596		-19.4794		0.262419
		6180		6.18e-12		199.275		12.8792		-32.3586		-19.4794		0.262693
		6240		6.24e-12		199.158		12.8716		-32.351		-19.4794		0.262189
		6300		6.3e-12		197.383		12.7569		-32.2363		-19.4794		0.261591
		6360		6.36e-12		198.106		12.8036		-32.283		-19.4794		0.259179
		6420		6.42e-12		201.129		12.9989		-32.4783		-19.4794		0.255675
		6480		6.48e-12		199.253		12.8778		-32.3571		-19.4794		0.252875
		6540		6.54e-12		194.98		12.6016		-32.0809		-19.4794		0.249879
		6600		6.6e-12		204.042		13.1872		-32.6666		-19.4794		0.243328
		6660		6.66e-12		200.622		12.9662		-32.4456		-19.4794		0.239157
		6720		6.72e-12		206.311		13.3339		-32.8133		-19.4794		0.236036
		6780		6.78e-12		213.495		13.7982		-33.2776		-19.4794		0.237488
