		timesteps		t		Temperature		Kin		Pot		TotalE		MSD
		0		0		96.9808		6.26787		-43.9281		-37.6603		0.00743876
		60		6e-14		71.503		4.62124		-42.2815		-37.6603		0.0197913
		120		1.2e-13		27.7707		1.79482		-39.455		-37.6602		0.0575723
		180		1.8e-13		30.012		1.93968		-39.5999		-37.6602		0.0778961
		240		2.4e-13		45.4811		2.93944		-40.5997		-37.6603		0.0810735
		300		3e-13		46.1875		2.9851		-40.6454		-37.6603		0.0803786
		360		3.6e-13		44.4781		2.87462		-40.5349		-37.6602		0.0771587
		420		4.2e-13		49.9785		3.23011		-40.8904		-37.6603		0.0701926
		480		4.8e-13		54.6215		3.53019		-41.1904		-37.6603		0.0637224
		540		5.4e-13		52.5491		3.39625		-41.0565		-37.6603		0.0613489
		600		6e-13		48.7876		3.15314		-40.8134		-37.6602		0.0613504
		660		6.6e-13		49.2734		3.18454		-40.8448		-37.6603		0.060705
		720		7.2e-13		51.0931		3.30215		-40.9624		-37.6603		0.0596613
		780		7.8e-13		50.7204		3.27806		-40.9383		-37.6603		0.0596103
		840		8.4e-13		49.6882		3.21135		-40.8716		-37.6603		0.0604355
		900		9e-13		47.6122		3.07718		-40.7374		-37.6602		0.0612201
		960		9.6e-13		48.5356		3.13685		-40.7971		-37.6603		0.0601879
		1020		1.02e-12		50.5003		3.26383		-40.9241		-37.6603		0.0579224
		1080		1.08e-12		51.1734		3.30734		-40.9676		-37.6603		0.0561666
		1140		1.14e-12		51.1746		3.30741		-40.9677		-37.6603		0.0556664
		1200		1.2e-12		50.4909		3.26323		-40.9235		-37.6603		0.0563821
		1260		1.26e-12		49.4538		3.1962		-40.8565		-37.6603		0.0576429
		1320		1.32e-12		48.6827		3.14636		-40.8066		-37.6602		0.0585128
		1380		1.38e-12		50.6556		3.27387		-40.9341		-37.6603		0.0584886
		1440		1.44e-12		50.9071		3.29012		-40.9504		-37.6603		0.0591805
		1500		1.5e-12		48.9289		3.16227		-40.8225		-37.6602		0.0608568
		1560		1.56e-12		50.0515		3.23483		-40.8951		-37.6603		0.0621206
		1620		1.62e-12		49.7227		3.21358		-40.8738		-37.6603		0.0638139
		1680		1.68e-12		46.5814		3.01055		-40.6708		-37.6602		0.0656172
		1740		1.74e-12		47.831		3.09132		-40.7516		-37.6603		0.0650781
		1800		1.8e-12		50.3057		3.25126		-40.9115		-37.6603		0.0630617
		1860		1.86e-12		49.055		3.17042		-40.8307		-37.6603		0.0614071
		1920		1.92e-12		49.6654		3.20988		-40.8701		-37.6603		0.0592166
		1980		1.98e-12		51.6448		3.3378		-40.9981		-37.6603		0.0569574
		2040		2.04e-12		52.011		3.36147		-41.0217		-37.6603		0.0562979
		2100		2.1e-12		50.1481		3.24107		-40.9013		-37.6603		0.0574764
		2160		2.16e-12		48.848		3.15705		-40.8173		-37.6603		0.0589421
		2220		2.22e-12		49.2938		3.18585		-40.8461		-37.6603		0.0596737
		2280		2.28e-12		49.5657		3.20343		-40.8637		-37.6603		0.0599934
		2340		2.34e-12		49.0757		3.17177		-40.832		-37.6603		0.0600848
		2400		2.4e-12		48.732		3.14955		-40.8098		-37.6603		0.0595802
		2460		2.46e-12		50.005		3.23182		-40.8921		-37.6603		0.058343
		2520		2.52e-12		51.5616		3.33243		-40.9927		-37.6603		0.0573623
		2580		2.58e-12		51.2534		3.31251		-40.9728		-37.6603		0.0578758
		2640		2.64e-12		48.207		3.11562		-40.7759		-37.6603		0.0595836
		2700		2.7e-12		48.2902		3.12099		-40.7812		-37.6603		0.0601189
		2760		2.76e-12		50.5681		3.26822		-40.9285		-37.6603		0.0595384
		2820		2.82e-12		49.294		3.18587		-40.8461		-37.6603		0.059512
		2880		2.88e-12		49.4367		3.19509		-40.8553		-37.6603		0.0591573
		2940		2.94e-12		50.5653		3.26803		-40.9283		-37.6603		0.0585898
		3000		3e-12		51.3467		3.31854		-40.9788		-37.6603		0.0587933
		3060		3.06e-12		50.5786		3.2689		-40.9292		-37.6603		0.0602644
		3120		3.12e-12		48.0461		3.10522		-40.7655		-37.6603		0.0621166
		3180		3.18e-12		48.8364		3.1563		-40.8166		-37.6603		0.0624254
		3240		3.24e-12		50.099		3.2379		-40.8982		-37.6603		0.0618975
		3300		3.3e-12		48.9371		3.1628		-40.8231		-37.6603		0.0615422
		3360		3.36e-12		49.3647		3.19044		-40.8507		-37.6603		0.0605309
		3420		3.42e-12		50.6698		3.27479		-40.935		-37.6603		0.0593789
		3480		3.48e-12		50.1464		3.24096		-40.9012		-37.6603		0.0592177
		3540		3.54e-12		50.2961		3.25064		-40.9109		-37.6603		0.0596698
		3600		3.6e-12		50.1364		3.24031		-40.9006		-37.6603		0.060617
		3660		3.66e-12		49.4737		3.19748		-40.8577		-37.6603		0.0618335
		3720		3.72e-12		48.3376		3.12406		-40.7843		-37.6603		0.0627546
		3780		3.78e-12		48.2078		3.11567		-40.7759		-37.6603		0.0625428
		3840		3.84e-12		49.3021		3.1864		-40.8466		-37.6603		0.061089
		3900		3.9e-12		51.2326		3.31116		-40.9714		-37.6603		0.0593191
		3960		3.96e-12		52.7448		3.40889		-41.0692		-37.6603		0.0589745
		4020		4.02e-12		50.957		3.29335		-40.9536		-37.6603		0.0613484
		4080		4.08e-12		48.9719		3.16505		-40.8253		-37.6603		0.065081
		4140		4.14e-12		48.6338		3.1432		-40.8035		-37.6603		0.068528
		4200		4.2e-12		47.0695		3.0421		-40.7024		-37.6603		0.0712148
		4260		4.26e-12		44.8885		2.90115		-40.5614		-37.6602		0.0717143
		4320		4.32e-12		47.0102		3.03827		-40.6985		-37.6603		0.0683102
		4380		4.38e-12		52.0646		3.36494		-41.0252		-37.6603		0.0628683
		4440		4.44e-12		52.5215		3.39446		-41.0547		-37.6603		0.0595587
		4500		4.5e-12		49.3553		3.18983		-40.8501		-37.6602		0.0587289
		4560		4.56e-12		49.865		3.22278		-40.883		-37.6603		0.0578612
		4620		4.62e-12		51.174		3.30738		-40.9676		-37.6603		0.0573526
		4680		4.68e-12		49.8871		3.2242		-40.8845		-37.6603		0.0582094
		4740		4.74e-12		49.9375		3.22746		-40.8877		-37.6603		0.0593408
		4800		4.8e-12		49.9562		3.22867		-40.8889		-37.6603		0.060587
		4860		4.86e-12		49.7313		3.21413		-40.8744		-37.6603		0.0620712
		4920		4.92e-12		50.1978		3.24428		-40.9045		-37.6603		0.0637026
		4980		4.98e-12		49.4428		3.19549		-40.8557		-37.6603		0.0658191
		5040		5.04e-12		48.5796		3.1397		-40.8		-37.6603		0.0677408
		5100		5.1e-12		48.6823		3.14633		-40.8066		-37.6603		0.068647
		5160		5.16e-12		47.515		3.0709		-40.7311		-37.6603		0.0685108
		5220		5.22e-12		47.7533		3.0863		-40.7465		-37.6602		0.0665719
		5280		5.28e-12		51.0179		3.29729		-40.9575		-37.6603		0.0632815
		5340		5.34e-12		51.1993		3.30901		-40.9693		-37.6603		0.0612623
		5400		5.4e-12		49.0305		3.16884		-40.8291		-37.6603		0.0606393
		5460		5.46e-12		49.5852		3.20469		-40.8649		-37.6603		0.0595019
		5520		5.52e-12		50.8679		3.28759		-40.9478		-37.6603		0.058164
		5580		5.58e-12		50.469		3.26181		-40.9221		-37.6603		0.057717
		5640		5.64e-12		51.3703		3.32007		-40.9803		-37.6603		0.0579686
		5700		5.7e-12		52.013		3.3616		-41.0219		-37.6603		0.0595787
		5760		5.76e-12		49.6567		3.20931		-40.8696		-37.6603		0.063111
		5820		5.82e-12		45.6787		2.95221		-40.6125		-37.6602		0.0665877
		5880		5.88e-12		47.5177		3.07107		-40.7313		-37.6603		0.0668612
		5940		5.94e-12		51.0647		3.30031		-40.9606		-37.6603		0.065374
		6000		6e-12		50.4459		3.26032		-40.9206		-37.6603		0.0650127
		6060		6.06e-12		48.974		3.16519		-40.8254		-37.6603		0.0652915
		6120		6.12e-12		49.9932		3.23106		-40.8913		-37.6603		0.0650707
		6180		6.18e-12		50.2278		3.24622		-40.9065		-37.6603		0.0651014
