		timesteps		t		Temperature		Kin		Pot		TotalE
		0		0		0.885892		664.419		-4257.43		-3593.01
		10		0.0997765		0.879091		659.318		-4252.33		-3593.01
		20		0.199553		0.858613		643.96		-4236.97		-3593.01
		30		0.29933		0.824847		618.636		-4211.65		-3593.01
		40		0.399106		0.778542		583.906		-4176.92		-3593.01
		50		0.498883		0.720953		540.715		-4133.73		-3593.01
		60		0.598659		0.654032		490.524		-4083.53		-3593.01
		70		0.698436		0.580578		435.433		-4028.44		-3593.01
		80		0.798212		0.504302		378.226		-3971.23		-3593.01
		90		0.897989		0.429684		322.263		-3915.27		-3593
		100		0.997765		0.361558		271.168		-3864.17		-3593
		110		1.09754		0.304439		228.329		-3821.33		-3593
		120		1.19732		0.261751		196.313		-3789.31		-3593
		130		1.29709		0.23521		176.407		-3769.41		-3593
		140		1.39687		0.224589		168.442		-3761.44		-3593
		150		1.49665		0.227949		170.962		-3763.96		-3593
		160		1.59642		0.242189		181.642		-3774.65		-3593
		170		1.6962		0.263717		197.788		-3790.79		-3593.01
		180		1.79598		0.289028		216.771		-3809.78		-3593.01
		190		1.89575		0.315104		236.328		-3829.34		-3593.01
		200		1.99553		0.33962		254.715		-3847.72		-3593.01
		210		2.09531		0.360993		270.744		-3863.75		-3593.01
		220		2.19508		0.378334		283.751		-3876.76		-3593.01
		230		2.29486		0.391346		293.51		-3886.52		-3593.01
		240		2.39464		0.400178		300.134		-3893.14		-3593.01
		250		2.49441		0.405287		303.965		-3896.97		-3593.01
		260		2.59419		0.407311		305.483		-3898.49		-3593.01
		270		2.69397		0.40698		305.235		-3898.24		-3593.01
		280		2.79374		0.40507		303.803		-3896.81		-3593.01
		290		2.89352		0.402383		301.788		-3894.79		-3593.01
		300		2.9933		0.399728		299.796		-3892.8		-3593.01
		310		3.09307		0.397879		298.41		-3891.42		-3593.01
		320		3.19285		0.397511		298.133		-3891.14		-3593.01
		330		3.29263		0.399121		299.341		-3892.35		-3593.01
		340		3.3924		0.402972		302.229		-3895.24		-3593.01
		350		3.49218		0.409072		306.804		-3899.81		-3593.01
		360		3.59196		0.41719		312.892		-3905.9		-3593.01
		370		3.69173		0.42691		320.182		-3913.19		-3593.01
		380		3.79151		0.437704		328.278		-3921.29		-3593.01
		390		3.89128		0.449005		336.754		-3929.76		-3593.01
		400		3.99106		0.460261		345.196		-3938.2		-3593.01
		410		4.09084		0.470971		353.228		-3946.24		-3593.01
		420		4.19061		0.480698		360.524		-3953.53		-3593.01
		430		4.29039		0.489069		366.801		-3959.81		-3593.01
		440		4.39017		0.495765		371.824		-3964.83		-3593.01
		450		4.48994		0.500536		375.402		-3968.41		-3593.01
		460		4.58972		0.503206		377.405		-3970.41		-3593.01
		470		4.6895		0.503701		377.776		-3970.78		-3593.01
		480		4.78927		0.502077		376.558		-3969.57		-3593.01
		490		4.88905		0.498548		373.911		-3966.92		-3593.01
		500		4.98883		0.493491		370.118		-3963.13		-3593.01
		510		5.0886		0.487417		365.563		-3958.57		-3593.01
		520		5.18838		0.480912		360.684		-3953.69		-3593.01
		530		5.28816		0.474539		355.904		-3948.91		-3593.01
		540		5.38793		0.468749		351.562		-3944.57		-3593.01
		550		5.48771		0.46381		347.858		-3940.86		-3593.01
		560		5.58749		0.459795		344.846		-3937.85		-3593.01
		570		5.68726		0.456617		342.463		-3935.47		-3593.01
		580		5.78704		0.454096		340.572		-3933.58		-3593.01
		590		5.88682		0.452029		339.022		-3932.03		-3593.01
		600		5.98659		0.450252		337.689		-3930.7		-3593.01
		610		6.08637		0.448662		336.497		-3929.5		-3593.01
		620		6.18615		0.447221		335.416		-3928.42		-3593.01
		630		6.28592		0.445934		334.451		-3927.46		-3593.01
		640		6.3857		0.444841		333.631		-3926.64		-3593.01
		650		6.48547		0.444025		333.019		-3926.03		-3593.01
		660		6.58525		0.443634		332.725		-3925.73		-3593.01
		670		6.68503		0.44388		332.91		-3925.92		-3593.01
		680		6.7848		0.444999		333.749		-3926.76		-3593.01
		690		6.88458		0.447149		335.361		-3928.37		-3593.01
		700		6.98436		0.450308		337.731		-3930.74		-3593.01
		710		7.08413		0.454228		340.671		-3933.68		-3593.01
		720		7.18391		0.458484		343.863		-3936.87		-3593.01
		730		7.28369		0.462583		346.937		-3939.94		-3593.01
		740		7.38346		0.46609		349.567		-3942.57		-3593.01
		750		7.48324		0.468695		351.521		-3944.53		-3593.01
		760		7.58302		0.47024		352.68		-3945.69		-3593.01
		770		7.68279		0.470698		353.023		-3946.03		-3593.01
		780		7.78257		0.470138		352.604		-3945.61		-3593.01
		790		7.88235		0.468687		351.515		-3944.52		-3593.01
		800		7.98212		0.466506		349.879		-3942.89		-3593.01
		810		8.0819		0.463774		347.831		-3940.84		-3593.01
		820		8.18168		0.460691		345.518		-3938.53		-3593.01
		830		8.28145		0.457465		343.098		-3936.11		-3593.01
		840		8.38123		0.454302		340.726		-3933.73		-3593.01
		850		8.48101		0.451382		338.537		-3931.54		-3593.01
		860		8.58078		0.448837		336.628		-3929.63		-3593.01
		870		8.68056		0.446726		335.045		-3928.05		-3593.01
		880		8.78034		0.445043		333.782		-3926.79		-3593.01
		890		8.88011		0.44373		332.798		-3925.8		-3593.01
		900		8.97989		0.442714		332.036		-3925.04		-3593.01
		910		9.07966		0.441937		331.453		-3924.46		-3593.01
		920		9.17944		0.441384		331.038		-3924.04		-3593.01
		930		9.27922		0.441086		330.815		-3923.82		-3593.01
		940		9.37899		0.441112		330.834		-3923.84		-3593.01
		950		9.47877		0.441541		331.156		-3924.16		-3593.01
		960		9.57855		0.442434		331.826		-3924.83		-3593.01
		970		9.67832		0.443799		332.849		-3925.86		-3593.01
		980		9.7781		0.445562		334.172		-3927.18		-3593.01
		990		9.87788		0.447558		335.668		-3928.68		-3593.01
		1000		9.97765		0.449551		337.163		-3930.17		-3593.01
		1010		10.0774		0.451283		338.462		-3931.47		-3593.01
		1020		10.1772		0.452523		339.393		-3932.4		-3593.01
		1030		10.277		0.453107		339.83		-3932.84		-3593.01
		1040		10.3768		0.452963		339.723		-3932.73		-3593.01
		1050		10.4765		0.452129		339.097		-3932.1		-3593.01
		1060		10.5763		0.45075		338.062		-3931.07		-3593.01
		1070		10.6761		0.449069		336.802		-3929.81		-3593.01
		1080		10.7759		0.447396		335.547		-3928.55		-3593.01
		1090		10.8756		0.446051		334.538		-3927.54		-3593.01
