		timesteps		t		Temperature		Kin		Pot		TotalE
		0		0		2.56376		1922.82		-4257.43		-2334.61
		100		0.997765		0.961625		721.218		-3055.79		-2334.57
		200		1.99553		1.19037		892.775		-3227.38		-2334.61
		300		2.9933		1.17455		880.912		-3215.51		-2334.6
		400		3.99106		1.24832		936.244		-3270.84		-2334.6
		500		4.98883		1.36853		1026.4		-3361		-2334.6
		600		5.98659		1.36314		1022.35		-3356.96		-2334.6
		700		6.98436		1.36507		1023.81		-3358.41		-2334.6
		800		7.98212		1.40283		1052.12		-3386.72		-2334.6
		900		8.97989		1.32977		997.324		-3331.93		-2334.6
		1000		9.97765		1.30771		980.781		-3315.38		-2334.6
		1100		10.9754		1.35329		1014.97		-3349.57		-2334.6
		1200		11.9732		1.33365		1000.24		-3334.84		-2334.6
		1300		12.9709		1.36107		1020.8		-3355.4		-2334.6
		1400		13.9687		1.36089		1020.67		-3355.27		-2334.6
		1500		14.9665		1.38074		1035.55		-3370.16		-2334.6
		1600		15.9642		1.29943		974.569		-3309.17		-2334.6
		1700		16.962		1.36903		1026.77		-3361.38		-2334.6
		1800		17.9598		1.28598		964.485		-3299.09		-2334.6
		1900		18.9575		1.35876		1019.07		-3353.67		-2334.6
		2000		19.9553		1.3519		1013.92		-3348.53		-2334.6
		2100		20.9531		1.38999		1042.49		-3377.1		-2334.6
		2200		21.9508		1.37863		1033.97		-3368.58		-2334.6
		2300		22.9486		1.39418		1045.64		-3380.24		-2334.6
		2400		23.9464		1.36373		1022.8		-3357.41		-2334.6
		2500		24.9441		1.28973		967.298		-3301.9		-2334.6
		2600		25.9419		1.34462		1008.47		-3343.07		-2334.6
		2700		26.9397		1.3149		986.175		-3320.78		-2334.6
		2800		27.9374		1.33951		1004.63		-3339.23		-2334.6
		2900		28.9352		1.34702		1010.27		-3344.87		-2334.6
		3000		29.933		1.26553		949.15		-3283.75		-2334.6
		3100		30.9307		1.39976		1049.82		-3384.42		-2334.6
		3200		31.9285		1.38972		1042.29		-3376.89		-2334.6
		3300		32.9263		1.3441		1008.07		-3342.68		-2334.6
		3400		33.924		1.3272		995.398		-3330		-2334.6
		3500		34.9218		1.34746		1010.59		-3345.2		-2334.6
		3600		35.9196		1.30782		980.866		-3315.47		-2334.6
		3700		36.9173		1.42152		1066.14		-3400.75		-2334.6
		3800		37.9151		1.37582		1031.86		-3366.46		-2334.6
		3900		38.9128		1.29799		973.489		-3308.09		-2334.6
		4000		39.9106		1.30731		980.481		-3315.08		-2334.6
		4100		40.9084		1.36148		1021.11		-3355.71		-2334.6
		4200		41.9061		1.3394		1004.55		-3339.15		-2334.6
		4300		42.9039		1.34903		1011.77		-3346.38		-2334.6
		4400		43.9017		1.30615		979.61		-3314.21		-2334.6
		4500		44.8994		1.35478		1016.09		-3350.69		-2334.6
		4600		45.8972		1.37728		1032.96		-3367.56		-2334.6
		4700		46.895		1.36689		1025.16		-3359.77		-2334.6
		4800		47.8927		1.42218		1066.63		-3401.24		-2334.6
		4900		48.8905		1.33634		1002.26		-3336.86		-2334.6
		5000		49.8883		1.32931		996.983		-3331.59		-2334.6
		5100		50.886		1.29458		970.936		-3305.54		-2334.6
		5200		51.8838		1.34075		1005.56		-3340.16		-2334.6
		5300		52.8816		1.332		999.002		-3333.6		-2334.6
		5400		53.8793		1.38362		1037.72		-3372.32		-2334.6
		5500		54.8771		1.34159		1006.2		-3340.8		-2334.6
		5600		55.8749		1.37341		1030.05		-3364.66		-2334.6
		5700		56.8726		1.29275		969.562		-3304.16		-2334.6
		5800		57.8704		1.34713		1010.35		-3344.95		-2334.6
		5900		58.8682		1.34441		1008.31		-3342.91		-2334.6
		6000		59.8659		1.35738		1018.04		-3352.64		-2334.6
		6100		60.8637		1.37922		1034.42		-3369.02		-2334.6
		6200		61.8615		1.30335		977.513		-3312.11		-2334.6
		6300		62.8592		1.32198		991.488		-3326.09		-2334.6
		6400		63.857		1.3597		1019.77		-3354.38		-2334.6
		6500		64.8547		1.32873		996.545		-3331.14		-2334.6
		6600		65.8525		1.3776		1033.2		-3367.8		-2334.6
		6700		66.8503		1.35202		1014.01		-3348.61		-2334.6
		6800		67.848		1.32283		992.123		-3326.73		-2334.6
		6900		68.8458		1.36862		1026.47		-3361.07		-2334.6
		7000		69.8436		1.33911		1004.33		-3338.93		-2334.6
		7100		70.8413		1.3731		1029.83		-3364.43		-2334.6
