		timesteps		t		Temperature		Kin		Pot		TotalE
		0		0		4.63769		3478.27		-4257.43		-779.16
		100		0.997765		1.81371		1360.28		-2139.39		-779.103
		200		1.99553		2.29139		1718.54		-2497.7		-779.154
		300		2.9933		2.22157		1666.18		-2445.33		-779.151
		400		3.99106		2.34159		1756.19		-2535.35		-779.153
		500		4.98883		2.27981		1709.86		-2489.01		-779.146
		600		5.98659		2.3621		1771.57		-2550.72		-779.148
		700		6.98436		2.44942		1837.06		-2616.22		-779.155
		800		7.98212		2.33085		1748.14		-2527.29		-779.148
		900		8.97989		2.42187		1816.4		-2595.55		-779.149
		1000		9.97765		2.49012		1867.59		-2646.74		-779.154
		1100		10.9754		2.36769		1775.77		-2554.91		-779.147
		1200		11.9732		2.46937		1852.03		-2631.18		-779.15
		1300		12.9709		2.4189		1814.18		-2593.34		-779.16
		1400		13.9687		2.50856		1881.42		-2660.58		-779.16
		1500		14.9665		2.51251		1884.38		-2663.54		-779.155
		1600		15.9642		2.48763		1865.72		-2644.88		-779.153
		1700		16.962		2.48081		1860.61		-2639.76		-779.151
		1800		17.9598		2.39588		1796.91		-2576.06		-779.145
		1900		18.9575		2.48668		1865.01		-2644.16		-779.152
		2000		19.9553		2.44663		1834.97		-2614.12		-779.151
		2100		20.9531		2.4205		1815.37		-2594.52		-779.149
		2200		21.9508		2.46833		1851.24		-2630.4		-779.155
		2300		22.9486		2.37281		1779.6		-2558.75		-779.148
		2400		23.9464		2.45846		1843.84		-2623		-779.153
		2500		24.9441		2.52395		1892.96		-2672.12		-779.156
		2600		25.9419		2.4835		1862.63		-2641.78		-779.15
		2700		26.9397		2.52187		1891.4		-2670.55		-779.152
		2800		27.9374		2.56991		1927.43		-2706.58		-779.153
		2900		28.9352		2.43058		1822.94		-2602.09		-779.149
		3000		29.933		2.31915		1739.36		-2518.51		-779.146
		3100		30.9307		2.33146		1748.6		-2527.74		-779.143
		3200		31.9285		2.48903		1866.77		-2645.93		-779.152
		3300		32.9263		2.51628		1887.21		-2666.37		-779.159
		3400		33.924		2.48447		1863.35		-2642.51		-779.153
		3500		34.9218		2.49254		1869.4		-2648.55		-779.151
		3600		35.9196		2.44822		1836.16		-2615.31		-779.148
		3700		36.9173		2.442		1831.5		-2610.65		-779.148
		3800		37.9151		2.40857		1806.43		-2585.57		-779.149
		3900		38.9128		2.45395		1840.46		-2619.62		-779.154
		4000		39.9106		2.41002		1807.51		-2586.66		-779.15
		4100		40.9084		2.55928		1919.46		-2698.61		-779.151
		4200		41.9061		2.42168		1816.26		-2595.41		-779.151
		4300		42.9039		2.4043		1803.23		-2582.38		-779.151
		4400		43.9017		2.31385		1735.38		-2514.53		-779.149
		4500		44.8994		2.49799		1873.49		-2652.65		-779.155
		4600		45.8972		2.50484		1878.63		-2657.78		-779.151
		4700		46.895		2.54969		1912.27		-2691.43		-779.155
		4800		47.8927		2.4188		1814.1		-2593.25		-779.149
		4900		48.8905		2.47643		1857.32		-2636.47		-779.151
