		timesteps		t		Temperature		Kin		Pot		TotalE
		0		0		5.89021		4417.66		-4257.43		160.229
		100		0.997765		2.39999		1799.99		-1639.72		160.268
		200		1.99553		2.94602		2209.51		-2049.28		160.233
		300		2.9933		3.02745		2270.59		-2110.36		160.232
		400		3.99106		2.88951		2167.14		-2006.89		160.243
		500		4.98883		3.06579		2299.34		-2139.1		160.238
		600		5.98659		2.93096		2198.22		-2037.98		160.24
		700		6.98436		2.90997		2182.48		-2022.23		160.248
		800		7.98212		2.96294		2222.2		-2061.96		160.245
		900		8.97989		2.86586		2149.39		-1989.15		160.246
		1000		9.97765		2.99734		2248		-2087.77		160.236
		1100		10.9754		2.95046		2212.84		-2052.62		160.222
		1200		11.9732		2.99723		2247.92		-2087.69		160.237
		1300		12.9709		2.87072		2153.04		-1992.81		160.233
		1400		13.9687		2.85984		2144.88		-1984.63		160.246
		1500		14.9665		2.9072		2180.4		-2020.16		160.239
		1600		15.9642		2.95114		2213.35		-2053.12		160.237
		1700		16.962		2.79929		2099.47		-1939.23		160.232
		1800		17.9598		2.91548		2186.61		-2026.38		160.229
		1900		18.9575		2.74853		2061.4		-1901.16		160.238
		2000		19.9553		2.83617		2127.13		-1966.88		160.247
		2100		20.9531		2.76459		2073.44		-1913.2		160.239
		2200		21.9508		2.79372		2095.29		-1935.04		160.242
		2300		22.9486		2.75484		2066.13		-1905.9		160.237
		2400		23.9464		2.72401		2043		-1882.76		160.245
		2500		24.9441		2.78182		2086.37		-1926.12		160.248
		2600		25.9419		2.66162		1996.22		-1835.98		160.239
		2700		26.9397		2.72226		2041.7		-1881.46		160.24
		2800		27.9374		2.86151		2146.14		-1985.9		160.231
		2900		28.9352		2.84603		2134.52		-1974.28		160.238
		3000		29.933		2.67629		2007.22		-1846.97		160.246
		3100		30.9307		2.72953		2047.15		-1886.89		160.254
		3200		31.9285		2.78861		2091.45		-1931.21		160.243
		3300		32.9263		2.7402		2055.15		-1894.9		160.247
		3400		33.924		2.72595		2044.46		-1884.22		160.236
		3500		34.9218		2.72654		2044.91		-1884.67		160.242
		3600		35.9196		2.81087		2108.15		-1947.92		160.233
		3700		36.9173		2.77565		2081.74		-1921.5		160.241
		3800		37.9151		2.66705		2000.29		-1840.04		160.253
		3900		38.9128		2.75901		2069.26		-1909.01		160.244
		4000		39.9106		2.76308		2072.31		-1912.07		160.238
		4100		40.9084		2.72828		2046.21		-1885.98		160.226
		4200		41.9061		2.65472		1991.04		-1830.79		160.247
		4300		42.9039		2.71991		2039.93		-1879.69		160.24
		4400		43.9017		2.51858		1888.94		-1728.69		160.247
		4500		44.8994		2.70651		2029.88		-1869.64		160.238
		4600		45.8972		2.74167		2056.25		-1896.02		160.234
		4700		46.895		2.68921		2016.91		-1856.67		160.239
		4800		47.8927		2.68683		2015.12		-1854.88		160.24
		4900		48.8905		2.68315		2012.36		-1852.12		160.238
