		timesteps		t		Temperature		Kin		Pot		TotalE		MSD
		0		0		5.20787		3905.9		-4257.43		-351.528		1.39064e-312
		50		0.498883		4.00616		3004.62		-3356.2		-351.578		0.0901076
		100		0.997765		2.1035		1577.63		-1929.11		-351.481		0.257063
		150		1.49665		2.52458		1893.44		-2244.98		-351.54		0.367715
		200		1.99553		2.51623		1887.17		-2238.7		-351.528		0.450562
		250		2.49441		2.52704		1895.28		-2246.81		-351.532		0.514214
		300		2.9933		2.49972		1874.79		-2226.31		-351.525		0.559598
		350		3.49218		2.51776		1888.32		-2239.84		-351.524		0.584828
		400		3.99106		2.63245		1974.34		-2325.86		-351.523		0.594082
		450		4.48994		2.69675		2022.56		-2374.09		-351.524		0.598691
		500		4.98883		2.62655		1969.92		-2321.44		-351.524		0.602715
		550		5.48771		2.61256		1959.42		-2310.94		-351.522		0.600009
		600		5.98659		2.74199		2056.49		-2408.01		-351.52		0.589803
		650		6.48547		2.79882		2099.11		-2450.64		-351.528		0.582351
		700		6.98436		2.65548		1991.61		-2343.12		-351.509		0.580571
		750		7.48324		2.8427		2132.03		-2483.56		-351.536		0.576197
		800		7.98212		2.69482		2021.11		-2372.63		-351.515		0.579024
		850		8.48101		2.72111		2040.83		-2392.36		-351.525		0.581779
		900		8.97989		2.6941		2020.57		-2372.1		-351.525		0.584508
		950		9.47877		2.69903		2024.27		-2375.8		-351.525		0.584325
		1000		9.97765		2.75405		2065.54		-2417.06		-351.524		0.580661
		1050		10.4765		2.71883		2039.12		-2390.65		-351.531		0.579206
		1100		10.9754		2.62715		1970.37		-2321.89		-351.522		0.576857
		1150		11.4743		2.73361		2050.21		-2401.74		-351.527		0.568129
		1200		11.9732		2.72558		2044.19		-2395.71		-351.521		0.560907
		1250		12.4721		2.70688		2030.16		-2381.68		-351.522		0.554542
		1300		12.9709		2.74204		2056.53		-2408.06		-351.53		0.546291
		1350		13.4698		2.66199		1996.49		-2348.01		-351.517		0.536554
		1400		13.9687		2.79308		2094.81		-2446.33		-351.526		0.521186
		1450		14.4676		2.82419		2118.14		-2469.66		-351.521		0.509034
		1500		14.9665		2.76888		2076.66		-2428.19		-351.531		0.50282
		1550		15.4654		2.63639		1977.29		-2328.81		-351.517		0.49598
		1600		15.9642		2.83098		2123.24		-2474.76		-351.524		0.480871
		1650		16.4631		2.86861		2151.46		-2502.98		-351.525		0.471488
		1700		16.962		2.78243		2086.82		-2438.34		-351.522		0.470865
		1750		17.4609		2.85368		2140.26		-2491.79		-351.531		0.472463
		1800		17.9598		2.77879		2084.09		-2435.61		-351.525		0.478281
		1850		18.4587		2.75685		2067.64		-2419.16		-351.527		0.482731
		1900		18.9575		2.7321		2049.07		-2400.6		-351.526		0.484844
		1950		19.4564		2.79262		2094.47		-2445.99		-351.528		0.482322
		2000		19.9553		2.81392		2110.44		-2461.96		-351.523		0.479201
		2050		20.4542		2.84505		2133.79		-2485.32		-351.534		0.47945
		2100		20.9531		2.78305		2087.29		-2438.81		-351.527		0.483653
		2150		21.452		2.7724		2079.3		-2430.83		-351.525		0.488046
