		timesteps		t		Temperature		Kin		Pot		TotalE
		0		0		4.79568		3596.76		-4257.43		-660.671
		100		0.997765		1.94026		1455.2		-2115.82		-660.621
		200		1.99553		2.22675		1670.06		-2330.73		-660.664
		300		2.9933		2.27632		1707.24		-2367.9		-660.661
		400		3.99106		2.47115		1853.36		-2514.03		-660.664
		500		4.98883		2.54178		1906.33		-2567		-660.668
		600		5.98659		2.47516		1856.37		-2517.03		-660.663
		700		6.98436		2.44478		1833.59		-2494.25		-660.661
		800		7.98212		2.44457		1833.43		-2494.09		-660.66
		900		8.97989		2.43468		1826.01		-2486.67		-660.662
		1000		9.97765		2.59678		1947.59		-2608.25		-660.665
		1100		10.9754		2.47061		1852.96		-2513.62		-660.66
		1200		11.9732		2.59187		1943.9		-2604.57		-660.666
		1300		12.9709		2.50008		1875.06		-2535.72		-660.664
		1400		13.9687		2.53754		1903.15		-2563.82		-660.665
		1500		14.9665		2.53028		1897.71		-2558.37		-660.667
		1600		15.9642		2.59697		1947.73		-2608.4		-660.674
		1700		16.962		2.40805		1806.04		-2466.71		-660.667
		1800		17.9598		2.46188		1846.41		-2507.07		-660.662
		1900		18.9575		2.40547		1804.1		-2464.76		-660.663
		2000		19.9553		2.38311		1787.33		-2448		-660.662
		2100		20.9531		2.5694		1927.05		-2587.71		-660.664
		2200		21.9508		2.41747		1813.1		-2473.75		-660.651
		2300		22.9486		2.56647		1924.85		-2585.52		-660.663
		2400		23.9464		2.47121		1853.4		-2514.06		-660.653
		2500		24.9441		2.55855		1918.91		-2579.57		-660.663
		2600		25.9419		2.5863		1939.73		-2600.39		-660.661
		2700		26.9397		2.48101		1860.76		-2521.42		-660.662
		2800		27.9374		2.55035		1912.76		-2573.43		-660.665
		2900		28.9352		2.48287		1862.15		-2522.82		-660.666
		3000		29.933		2.58126		1935.94		-2596.61		-660.666
		3100		30.9307		2.5109		1883.18		-2543.84		-660.658
		3200		31.9285		2.58061		1935.46		-2596.12		-660.657
		3300		32.9263		2.54799		1910.99		-2571.65		-660.663
		3400		33.924		2.46735		1850.51		-2511.17		-660.66
		3500		34.9218		2.5028		1877.1		-2537.77		-660.666
		3600		35.9196		2.48126		1860.94		-2521.61		-660.668
		3700		36.9173		2.34814		1761.1		-2421.77		-660.666
		3800		37.9151		2.61639		1962.29		-2622.96		-660.665
		3900		38.9128		2.58937		1942.03		-2602.7		-660.666
		4000		39.9106		2.58544		1939.08		-2599.74		-660.663
		4100		40.9084		2.5325		1899.38		-2560.04		-660.661
		4200		41.9061		2.55621		1917.16		-2577.82		-660.664
		4300		42.9039		2.50035		1875.26		-2535.92		-660.662
		4400		43.9017		2.63297		1974.73		-2635.4		-660.667
		4500		44.8994		2.46628		1849.71		-2510.37		-660.661
		4600		45.8972		2.48482		1863.61		-2524.27		-660.66
		4700		46.895		2.45432		1840.74		-2501.4		-660.66
		4800		47.8927		2.53349		1900.12		-2560.78		-660.664
		4900		48.8905		2.42632		1819.74		-2480.4		-660.658
