		timesteps		t		Temperature		Kin		Pot		TotalE
		0		0		9.42966		7072.24		-4257.43		2814.81
		100		0.997765		4.54823		3411.18		-596.356		2814.82
		200		1.99553		4.8442		3633.15		-818.358		2814.79
		300		2.9933		4.58969		3442.27		-627.456		2814.81
		400		3.99106		4.76301		3572.26		-757.452		2814.8
		500		4.98883		4.54577		3409.33		-594.471		2814.86
		600		5.98659		4.79012		3592.59		-777.808		2814.78
		700		6.98436		4.75888		3569.16		-754.364		2814.79
		800		7.98212		4.90955		3682.16		-867.359		2814.8
		900		8.97989		4.76143		3571.07		-756.265		2814.8
		1000		9.97765		4.5965		3447.38		-632.567		2814.81
		1100		10.9754		4.73133		3548.5		-733.711		2814.79
		1200		11.9732		4.73096		3548.22		-733.424		2814.79
		1300		12.9709		4.76486		3573.64		-758.849		2814.79
		1400		13.9687		4.92945		3697.09		-882.31		2814.78
		1500		14.9665		4.74066		3555.5		-740.694		2814.8
		1600		15.9642		4.73061		3547.96		-733.155		2814.8
		1700		16.962		4.80153		3601.15		-786.345		2814.8
		1800		17.9598		4.92501		3693.76		-878.952		2814.8
		1900		18.9575		4.89263		3669.47		-854.691		2814.78
		2000		19.9553		4.8698		3652.35		-837.556		2814.79
		2100		20.9531		4.69483		3521.13		-706.312		2814.81
		2200		21.9508		4.71709		3537.82		-723.013		2814.8
		2300		22.9486		4.63329		3474.96		-660.158		2814.81
		2400		23.9464		4.75162		3563.71		-748.899		2814.81
		2500		24.9441		4.70368		3527.76		-712.948		2814.82
		2600		25.9419		4.63085		3473.14		-658.305		2814.83
		2700		26.9397		4.76033		3570.25		-755.46		2814.79
		2800		27.9374		4.69969		3524.77		-709.957		2814.81
		2900		28.9352		4.78068		3585.51		-770.729		2814.78
		3000		29.933		4.58846		3441.35		-626.532		2814.81
		3100		30.9307		4.87492		3656.19		-841.412		2814.78
		3200		31.9285		4.87107		3653.3		-838.495		2814.8
		3300		32.9263		4.628		3471		-656.217		2814.79
		3400		33.924		4.83593		3626.95		-812.155		2814.79
		3500		34.9218		4.57515		3431.36		-616.53		2814.83
		3600		35.9196		4.76784		3575.88		-761.072		2814.8
		3700		36.9173		4.82576		3619.32		-804.509		2814.81
		3800		37.9151		4.77792		3583.44		-768.633		2814.81
		3900		38.9128		4.52031		3390.23		-575.419		2814.81
		4000		39.9106		4.77398		3580.49		-765.694		2814.79
		4100		40.9084		4.71821		3538.66		-723.841		2814.81
		4200		41.9061		4.71316		3534.87		-720.07		2814.8
		4300		42.9039		4.7972		3597.9		-783.102		2814.8
		4400		43.9017		4.70011		3525.08		-710.247		2814.84
		4500		44.8994		4.65482		3491.11		-676.319		2814.79
		4600		45.8972		4.59837		3448.78		-633.953		2814.82
		4700		46.895		4.69141		3518.56		-703.752		2814.8
		4800		47.8927		4.61069		3458.02		-643.193		2814.82
		4900		48.8905		4.91807		3688.56		-873.769		2814.79
