		timesteps		t		Temperature		Kin		Pot		TotalE
		0		0		1.23032		922.741		-4257.43		-3334.69
		1000		9.97765		0.651214		488.41		-3823.09		-3334.68
		2000		19.9553		0.654043		490.532		-3825.22		-3334.68
		3000		29.933		0.654732		491.049		-3825.73		-3334.68
		4000		39.9106		0.632387		474.29		-3808.97		-3334.68
		5000		49.8883		0.627628		470.721		-3805.4		-3334.68
		6000		59.8659		0.612366		459.274		-3793.96		-3334.68
		7000		69.8436		0.647173		485.38		-3820.06		-3334.68
		8000		79.8212		0.627485		470.614		-3805.3		-3334.68
		9000		89.7989		0.626236		469.677		-3804.36		-3334.68
		10000		99.7765		0.642229		481.672		-3816.36		-3334.68
		11000		109.754		0.602652		451.989		-3786.67		-3334.68
		12000		119.732		0.627874		470.905		-3805.59		-3334.68
		13000		129.709		0.617628		463.221		-3797.9		-3334.68
		14000		139.687		0.636869		477.652		-3812.33		-3334.68
		15000		149.665		0.656743		492.557		-3827.24		-3334.68
		16000		159.642		0.63894		479.205		-3813.89		-3334.68
		17000		169.62		0.648404		486.303		-3820.99		-3334.68
		18000		179.598		0.634727		476.045		-3810.73		-3334.68
		19000		189.575		0.618198		463.648		-3798.33		-3334.68
		20000		199.553		0.637963		478.473		-3813.16		-3334.68
		21000		209.531		0.633583		475.187		-3809.87		-3334.68
		22000		219.508		0.625523		469.142		-3803.83		-3334.68
		23000		229.486		0.648916		486.687		-3821.37		-3334.68
		24000		239.464		0.636098		477.074		-3811.76		-3334.68
		25000		249.441		0.618664		463.998		-3798.68		-3334.68
		26000		259.419		0.626884		470.163		-3804.85		-3334.68
		27000		269.397		0.647602		485.701		-3820.38		-3334.68
		28000		279.374		0.640599		480.45		-3815.13		-3334.68
		29000		289.352		0.646656		484.992		-3819.68		-3334.68
		30000		299.33		0.627338		470.503		-3805.19		-3334.68
		31000		309.307		0.650827		488.12		-3822.8		-3334.68
		32000		319.285		0.643074		482.306		-3816.99		-3334.68
		33000		329.263		0.622571		466.928		-3801.61		-3334.68
		34000		339.24		0.619094		464.321		-3799		-3334.68
		35000		349.218		0.637194		477.895		-3812.58		-3334.68
		36000		359.196		0.61009		457.568		-3792.25		-3334.68
		37000		369.173		0.637206		477.904		-3812.59		-3334.68
		38000		379.151		0.628388		471.291		-3805.97		-3334.68
		39000		389.128		0.618963		464.223		-3798.91		-3334.68
		40000		399.106		0.62514		468.855		-3803.54		-3334.68
		41000		409.084		0.610772		458.079		-3792.76		-3334.68
		42000		419.061		0.63253		474.397		-3809.08		-3334.68
		43000		429.039		0.637909		478.432		-3813.11		-3334.68
		44000		439.017		0.650226		487.67		-3822.35		-3334.68
		45000		448.994		0.637896		478.422		-3813.11		-3334.68
		46000		458.972		0.652536		489.402		-3824.09		-3334.68
		47000		468.95		0.610515		457.886		-3792.57		-3334.68
		48000		478.927		0.625535		469.151		-3803.83		-3334.68
		49000		488.905		0.646352		484.764		-3819.45		-3334.68
		50000		498.883		0.651406		488.555		-3823.24		-3334.68
		51000		508.86		0.622348		466.761		-3801.44		-3334.68
		52000		518.838		0.638723		479.042		-3813.73		-3334.68
		53000		528.816		0.639889		479.916		-3814.6		-3334.68
		54000		538.793		0.601841		451.381		-3786.06		-3334.68
		55000		548.771		0.624611		468.458		-3803.14		-3334.68
		56000		558.749		0.633181		474.885		-3809.57		-3334.68
		57000		568.726		0.64637		484.777		-3819.46		-3334.68
		58000		578.704		0.63729		477.968		-3812.65		-3334.68
		59000		588.682		0.620122		465.091		-3799.77		-3334.68
		60000		598.659		0.660544		495.408		-3830.09		-3334.68
		61000		608.637		0.618434		463.825		-3798.51		-3334.68
		62000		618.615		0.619451		464.588		-3799.27		-3334.68
		63000		628.592		0.668089		501.067		-3835.75		-3334.68
		64000		638.57		0.616565		462.424		-3797.11		-3334.68
		65000		648.547		0.622647		466.985		-3801.67		-3334.68
		66000		658.525		0.638401		478.801		-3813.48		-3334.68
		67000		668.503		0.658639		493.98		-3828.66		-3334.68
		68000		678.48		0.624393		468.295		-3802.98		-3334.68
		69000		688.458		0.628399		471.3		-3805.98		-3334.68
		70000		698.436		0.634801		476.101		-3810.78		-3334.68
		71000		708.413		0.654093		490.569		-3825.25		-3334.68
		72000		718.391		0.615327		461.495		-3796.18		-3334.68
		73000		728.369		0.624696		468.522		-3803.2		-3334.68
		74000		738.346		0.645666		484.25		-3818.93		-3334.68
		75000		748.324		0.636355		477.267		-3811.95		-3334.68
		76000		758.302		0.642352		481.764		-3816.45		-3334.68
		77000		768.279		0.621649		466.237		-3800.92		-3334.68
		78000		778.257		0.623622		467.717		-3802.4		-3334.68
		79000		788.235		0.654419		490.814		-3825.5		-3334.68
		80000		798.212		0.627789		470.842		-3805.52		-3334.68
		81000		808.19		0.608276		456.207		-3790.89		-3334.68
		82000		818.168		0.647816		485.862		-3820.55		-3334.68
		83000		828.145		0.634356		475.767		-3810.45		-3334.68
		84000		838.123		0.61232		459.24		-3793.92		-3334.68
		85000		848.101		0.68092		510.69		-3845.37		-3334.68
		86000		858.078		0.613806		460.355		-3795.04		-3334.68
		87000		868.056		0.654677		491.008		-3825.69		-3334.68
		88000		878.034		0.629803		472.353		-3807.04		-3334.68
		89000		888.011		0.630125		472.593		-3807.28		-3334.68
		90000		897.989		0.633442		475.082		-3809.77		-3334.68
