		timesteps		t		Temperature		Kin		Pot		TotalE
		0		0		5.24854		3936.4		-4257.43		-321.023
		100		0.997765		2.12693		1595.2		-1916.18		-320.978
		200		1.99553		2.52702		1895.26		-2216.29		-321.021
		300		2.9933		2.56972		1927.29		-2248.31		-321.014
		400		3.99106		2.66773		2000.8		-2321.81		-321.011
		500		4.98883		2.70521		2028.91		-2349.92		-321.013
		600		5.98659		2.71562		2036.72		-2357.73		-321.011
		700		6.98436		2.6973		2022.97		-2343.99		-321.013
		800		7.98212		2.68492		2013.69		-2334.7		-321.016
		900		8.97989		2.72976		2047.32		-2368.34		-321.014
		1000		9.97765		2.68701		2015.26		-2336.27		-321.012
		1100		10.9754		2.80142		2101.07		-2422.08		-321.015
		1200		11.9732		2.74407		2058.05		-2379.07		-321.017
		1300		12.9709		2.76269		2072.02		-2393.03		-321.016
		1400		13.9687		2.8803		2160.22		-2481.24		-321.019
		1500		14.9665		2.93139		2198.54		-2519.56		-321.02
		1600		15.9642		2.72347		2042.6		-2363.62		-321.012
		1700		16.962		2.72046		2040.34		-2361.35		-321.011
		1800		17.9598		2.76011		2070.08		-2391.1		-321.015
		1900		18.9575		2.76277		2072.07		-2393.1		-321.021
		2000		19.9553		2.76989		2077.41		-2398.43		-321.017
		2100		20.9531		2.63697		1977.73		-2298.74		-321.009
		2200		21.9508		2.68469		2013.52		-2334.53		-321.013
		2300		22.9486		2.6869		2015.18		-2336.2		-321.021
		2400		23.9464		2.67896		2009.22		-2330.24		-321.02
		2500		24.9441		2.65991		1994.94		-2315.95		-321.012
		2600		25.9419		2.79082		2093.12		-2414.13		-321.016
		2700		26.9397		2.67158		2003.69		-2324.7		-321.014
		2800		27.9374		2.70739		2030.54		-2351.56		-321.021
		2900		28.9352		2.80881		2106.6		-2427.62		-321.017
		3000		29.933		2.6901		2017.58		-2338.59		-321.015
		3100		30.9307		2.71346		2035.1		-2356.1		-321.004
		3200		31.9285		2.80772		2105.79		-2426.81		-321.022
		3300		32.9263		2.6854		2014.05		-2335.06		-321.012
		3400		33.924		2.7742		2080.65		-2401.67		-321.014
		3500		34.9218		2.62952		1972.14		-2293.16		-321.022
		3600		35.9196		2.776		2082		-2403.02		-321.02
		3700		36.9173		2.74779		2060.84		-2381.85		-321.013
		3800		37.9151		2.69165		2018.74		-2339.76		-321.019
		3900		38.9128		2.75487		2066.15		-2387.17		-321.017
		4000		39.9106		2.69271		2019.53		-2340.54		-321.01
		4100		40.9084		2.65045		1987.84		-2308.85		-321.015
		4200		41.9061		2.70252		2026.89		-2347.91		-321.017
		4300		42.9039		2.78175		2086.31		-2407.32		-321.013
		4400		43.9017		2.71309		2034.82		-2355.83		-321.007
		4500		44.8994		2.65737		1993.03		-2314.04		-321.01
		4600		45.8972		2.6642		1998.15		-2319.17		-321.016
		4700		46.895		2.70464		2028.48		-2349.49		-321.016
		4800		47.8927		2.78658		2089.94		-2410.96		-321.019
		4900		48.8905		2.77475		2081.06		-2402.07		-321.015
