		timesteps		t		Temperature		Kin		Pot		TotalE
		0		0		0.409555		307.166		-4257.43		-3950.26
		1000		9.97765		0.219839		164.879		-4115.14		-3950.26
		2000		19.9553		0.221237		165.928		-4116.19		-3950.26
		3000		29.933		0.217705		163.279		-4113.54		-3950.26
		4000		39.9106		0.201108		150.831		-4101.09		-3950.26
		5000		49.8883		0.210661		157.995		-4108.26		-3950.26
		6000		59.8659		0.210928		158.196		-4108.46		-3950.26
		7000		69.8436		0.207423		155.568		-4105.83		-3950.26
		8000		79.8212		0.207461		155.596		-4105.86		-3950.26
		9000		89.7989		0.207757		155.818		-4106.08		-3950.26
		10000		99.7765		0.209855		157.391		-4107.65		-3950.26
		11000		109.754		0.218187		163.64		-4113.9		-3950.26
		12000		119.732		0.206999		155.249		-4105.51		-3950.26
		13000		129.709		0.210211		157.659		-4107.92		-3950.26
		14000		139.687		0.212639		159.479		-4109.74		-3950.26
		15000		149.665		0.204739		153.554		-4103.82		-3950.26
		16000		159.642		0.205789		154.342		-4104.6		-3950.26
		17000		169.62		0.210926		158.195		-4108.46		-3950.26
		18000		179.598		0.204461		153.346		-4103.61		-3950.26
		19000		189.575		0.210017		157.513		-4107.77		-3950.26
		20000		199.553		0.206349		154.762		-4105.02		-3950.26
		21000		209.531		0.202921		152.191		-4102.45		-3950.26
		22000		219.508		0.206494		154.871		-4105.13		-3950.26
		23000		229.486		0.206778		155.083		-4105.34		-3950.26
		24000		239.464		0.200661		150.496		-4100.76		-3950.26
		25000		249.441		0.206671		155.003		-4105.26		-3950.26
		26000		259.419		0.210141		157.606		-4107.87		-3950.26
		27000		269.397		0.212652		159.489		-4109.75		-3950.26
		28000		279.374		0.217886		163.414		-4113.68		-3950.26
		29000		289.352		0.207739		155.804		-4106.07		-3950.26
		30000		299.33		0.204811		153.608		-4103.87		-3950.26
		31000		309.307		0.202075		151.556		-4101.82		-3950.26
		32000		319.285		0.20539		154.043		-4104.3		-3950.26
		33000		329.263		0.211914		158.936		-4109.2		-3950.26
		34000		339.24		0.206091		154.568		-4104.83		-3950.26
		35000		349.218		0.216595		162.446		-4112.71		-3950.26
		36000		359.196		0.212756		159.567		-4109.83		-3950.26
		37000		369.173		0.212486		159.364		-4109.63		-3950.26
		38000		379.151		0.20021		150.158		-4100.42		-3950.26
		39000		389.128		0.203276		152.457		-4102.72		-3950.26
		40000		399.106		0.205255		153.941		-4104.2		-3950.26
		41000		409.084		0.197371		148.028		-4098.29		-3950.26
		42000		419.061		0.20945		157.088		-4107.35		-3950.26
		43000		429.039		0.205452		154.089		-4104.35		-3950.26
		44000		439.017		0.210287		157.715		-4107.98		-3950.26
		45000		448.994		0.204364		153.273		-4103.53		-3950.26
		46000		458.972		0.213265		159.948		-4110.21		-3950.26
		47000		468.95		0.214405		160.804		-4111.07		-3950.26
		48000		478.927		0.211802		158.852		-4109.11		-3950.26
		49000		488.905		0.212014		159.01		-4109.27		-3950.26
		50000		498.883		0.209196		156.897		-4107.16		-3950.26
		51000		508.86		0.198115		148.586		-4098.85		-3950.26
		52000		518.838		0.207158		155.368		-4105.63		-3950.26
		53000		528.816		0.210613		157.96		-4108.22		-3950.26
		54000		538.793		0.213614		160.211		-4110.47		-3950.26
		55000		548.771		0.205324		153.993		-4104.25		-3950.26
		56000		558.749		0.209308		156.981		-4107.24		-3950.26
		57000		568.726		0.210551		157.913		-4108.17		-3950.26
		58000		578.704		0.208239		156.179		-4106.44		-3950.26
		59000		588.682		0.210632		157.974		-4108.24		-3950.26
		60000		598.659		0.209944		157.458		-4107.72		-3950.26
		61000		608.637		0.212449		159.337		-4109.6		-3950.26
		62000		618.615		0.213616		160.212		-4110.47		-3950.26
		63000		628.592		0.209763		157.322		-4107.58		-3950.26
		64000		638.57		0.210448		157.836		-4108.1		-3950.26
		65000		648.547		0.211523		158.642		-4108.9		-3950.26
		66000		658.525		0.20753		155.648		-4105.91		-3950.26
		67000		668.503		0.216378		162.284		-4112.55		-3950.26
		68000		678.48		0.210425		157.819		-4108.08		-3950.26
		69000		688.458		0.208098		156.073		-4106.33		-3950.26
		70000		698.436		0.201325		150.994		-4101.25		-3950.26
		71000		708.413		0.210934		158.2		-4108.46		-3950.26
		72000		718.391		0.203384		152.538		-4102.8		-3950.26
		73000		728.369		0.210502		157.876		-4108.14		-3950.26
		74000		738.346		0.21509		161.317		-4111.58		-3950.26
		75000		748.324		0.212124		159.093		-4109.35		-3950.26
		76000		758.302		0.203123		152.343		-4102.6		-3950.26
		77000		768.279		0.200234		150.176		-4100.44		-3950.26
		78000		778.257		0.208858		156.644		-4106.91		-3950.26
		79000		788.235		0.209546		157.159		-4107.42		-3950.26
		80000		798.212		0.213378		160.034		-4110.3		-3950.26
		81000		808.19		0.202409		151.807		-4102.07		-3950.26
		82000		818.168		0.209932		157.449		-4107.71		-3950.26
		83000		828.145		0.211783		158.837		-4109.1		-3950.26
		84000		838.123		0.2174		163.05		-4113.31		-3950.26
		85000		848.101		0.218124		163.593		-4113.85		-3950.26
		86000		858.078		0.210576		157.932		-4108.19		-3950.26
		87000		868.056		0.211952		158.964		-4109.23		-3950.26
		88000		878.034		0.208583		156.437		-4106.7		-3950.26
		89000		888.011		0.210702		158.027		-4108.29		-3950.26
		90000		897.989		0.202442		151.831		-4102.09		-3950.26
		91000		907.966		0.206881		155.161		-4105.42		-3950.26
		92000		917.944		0.208335		156.251		-4106.51		-3950.26
		93000		927.922		0.206332		154.749		-4105.01		-3950.26
		94000		937.899		0.214608		160.956		-4111.22		-3950.26
		95000		947.877		0.209034		156.775		-4107.04		-3950.26
		96000		957.855		0.209688		157.266		-4107.53		-3950.26
		97000		967.832		0.20083		150.623		-4100.88		-3950.26
		98000		977.81		0.204413		153.31		-4103.57		-3950.26
		99000		987.788		0.206366		154.775		-4105.04		-3950.26
		100000		997.765		0.222312		166.734		-4117		-3950.26
		101000		1007.74		0.216325		162.244		-4112.51		-3950.26
		102000		1017.72		0.197299		147.974		-4098.24		-3950.26
		103000		1027.7		0.214516		160.887		-4111.15		-3950.26
		104000		1037.68		0.209819		157.364		-4107.63		-3950.26
		105000		1047.65		0.209834		157.375		-4107.64		-3950.26
		106000		1057.63		0.206506		154.88		-4105.14		-3950.26
		107000		1067.61		0.194664		145.998		-4096.26		-3950.26
		108000		1077.59		0.198602		148.952		-4099.21		-3950.26
		109000		1087.56		0.201091		150.819		-4101.08		-3950.26
		110000		1097.54		0.216473		162.355		-4112.62		-3950.26
		111000		1107.52		0.20295		152.213		-4102.47		-3950.26
		112000		1117.5		0.211202		158.402		-4108.66		-3950.26
		113000		1127.47		0.21277		159.577		-4109.84		-3950.26
		114000		1137.45		0.213679		160.259		-4110.52		-3950.26
		115000		1147.43		0.203742		152.806		-4103.07		-3950.26
