		timesteps		t		Temperature		Kin		Pot		TotalE		MSD
		0		0		5.18709		3890.32		-4257.43		-367.112		1.39064e-312
		50		0.498883		4.01002		3007.52		-3374.67		-367.151		0.089783
		100		0.997765		2.12535		1594.01		-1961.07		-367.061		0.261024
		150		1.49665		2.43192		1823.94		-2191.06		-367.12		0.381432
		200		1.99553		2.53009		1897.57		-2264.68		-367.112		0.470463
		250		2.49441		2.4524		1839.3		-2206.4		-367.101		0.543341
		300		2.9933		2.48952		1867.14		-2234.25		-367.105		0.599995
		350		3.49218		2.53279		1899.59		-2266.7		-367.108		0.643155
		400		3.99106		2.44802		1836.01		-2203.11		-367.096		0.674839
		450		4.48994		2.56691		1925.18		-2292.3		-367.111		0.691472
		500		4.98883		2.59975		1949.81		-2316.91		-367.1		0.70301
		550		5.48771		2.64505		1983.78		-2350.89		-367.102		0.715968
		600		5.98659		2.58272		1937.04		-2304.14		-367.103		0.731489
		650		6.48547		2.54887		1911.66		-2278.76		-367.101		0.745357
		700		6.98436		2.63929		1979.47		-2346.58		-367.112		0.756502
		750		7.48324		2.52024		1890.18		-2257.28		-367.101		0.769002
		800		7.98212		2.52277		1892.08		-2259.18		-367.104		0.773116
		850		8.48101		2.63305		1974.79		-2341.9		-367.111		0.76667
		900		8.97989		2.59629		1947.22		-2314.32		-367.1		0.758303
		950		9.47877		2.57325		1929.94		-2297.04		-367.1		0.748366
		1000		9.97765		2.59753		1948.14		-2315.25		-367.107		0.736057
		1050		10.4765		2.54422		1908.17		-2275.27		-367.101		0.720695
		1100		10.9754		2.65442		1990.82		-2357.93		-367.11		0.696906
		1150		11.4743		2.64959		1987.19		-2354.3		-367.101		0.669917
		1200		11.9732		2.75818		2068.63		-2435.74		-367.102		0.641351
		1250		12.4721		2.85734		2143		-2510.11		-367.112		0.619017
		1300		12.9709		2.71659		2037.44		-2404.54		-367.098		0.609013
		1350		13.4698		2.76769		2075.77		-2442.87		-367.102		0.603202
		1400		13.9687		2.73738		2053.04		-2420.14		-367.106		0.603779
		1450		14.4676		2.67179		2003.84		-2370.95		-367.111		0.607289
		1500		14.9665		2.66218		1996.63		-2363.73		-367.098		0.607992
		1550		15.4654		2.75329		2064.96		-2432.07		-367.109		0.607304
		1600		15.9642		2.66359		1997.69		-2364.8		-367.108		0.611057
		1650		16.4631		2.61884		1964.13		-2331.23		-367.103		0.612443
		1700		16.962		2.62541		1969.06		-2336.17		-367.108		0.607641
		1750		17.4609		2.58865		1941.49		-2308.59		-367.106		0.596961
		1800		17.9598		2.66117		1995.88		-2362.99		-367.109		0.578718
		1850		18.4587		2.74963		2062.22		-2429.32		-367.104		0.557713
		1900		18.9575		2.84099		2130.74		-2497.85		-367.107		0.540964
		1950		19.4564		2.80479		2103.6		-2470.7		-367.105		0.533685
		2000		19.9553		2.73754		2053.16		-2420.26		-367.106		0.533713
		2050		20.4542		2.62		1965		-2332.09		-367.096		0.535643
		2100		20.9531		2.77875		2084.07		-2451.18		-367.112		0.532615
		2150		21.452		2.71161		2033.71		-2400.82		-367.109		0.534559
		2200		21.9508		2.59371		1945.28		-2312.38		-367.097		0.53477
		2250		22.4497		2.79536		2096.52		-2463.63		-367.112		0.525946
		2300		22.9486		2.78207		2086.55		-2453.65		-367.103		0.521189
		2350		23.4475		2.77567		2081.76		-2448.86		-367.101		0.520903
		2400		23.9464		2.75254		2064.41		-2431.51		-367.107		0.524778
		2450		24.4453		2.74161		2056.21		-2423.32		-367.113		0.53166
		2500		24.9441		2.64752		1985.64		-2352.74		-367.102		0.540245
		2550		25.443		2.63988		1979.91		-2347.01		-367.104		0.544648
		2600		25.9419		2.70841		2031.31		-2398.42		-367.108		0.54385
		2650		26.4408		2.70281		2027.11		-2394.21		-367.099		0.542992
		2700		26.9397		2.76636		2074.77		-2441.88		-367.112		0.543046
		2750		27.4385		2.73804		2053.53		-2420.63		-367.102		0.546718
		2800		27.9374		2.7359		2051.92		-2419.03		-367.106		0.553097
		2850		28.4363		2.68579		2014.34		-2381.44		-367.1		0.560626
		2900		28.9352		2.73995		2054.97		-2422.07		-367.107		0.566325
		2950		29.4341		2.62691		1970.19		-2337.29		-367.105		0.574808
		3000		29.933		2.55278		1914.59		-2281.68		-367.096		0.57709
		3050		30.4318		2.70152		2026.14		-2393.25		-367.11		0.568351
		3100		30.9307		2.68303		2012.28		-2379.38		-367.101		0.558911
		3150		31.4296		2.70312		2027.34		-2394.44		-367.104		0.549152
		3200		31.9285		2.70143		2026.08		-2393.18		-367.108		0.539771
		3250		32.4274		2.66978		2002.34		-2369.44		-367.102		0.5287
		3300		32.9263		2.78328		2087.46		-2454.58		-367.114		0.513721
		3350		33.4251		2.78217		2086.63		-2453.73		-367.103		0.501479
		3400		33.924		2.79606		2097.05		-2464.15		-367.104		0.492727
		3450		34.4229		2.74767		2060.75		-2427.85		-367.103		0.488038
		3500		34.9218		2.83433		2125.75		-2492.86		-367.108		0.484092
		3550		35.4207		2.85057		2137.93		-2505.04		-367.108		0.486093
		3600		35.9196		2.71973		2039.8		-2406.9		-367.104		0.494145
		3650		36.4184		2.68172		2011.29		-2378.39		-367.104		0.499159
		3700		36.9173		2.80379		2102.84		-2469.95		-367.11		0.498989
		3750		37.4162		2.795		2096.25		-2463.36		-367.105		0.501966
