		timesteps		t		Temperature		Kin		Pot		TotalE
		0		0		4.03685		3027.64		-4257.43		-1229.79
		50		0.498883		3.1648		2373.6		-3603.42		-1229.82
		100		0.997765		1.57022		1177.66		-2407.4		-1229.74
		150		1.49665		1.88168		1411.26		-2641.06		-1229.8
		200		1.99553		1.9716		1478.7		-2708.49		-1229.78
		250		2.49441		1.95736		1468.02		-2697.81		-1229.79
		300		2.9933		1.86881		1401.61		-2631.39		-1229.78
		350		3.49218		1.85282		1389.62		-2619.39		-1229.78
		400		3.99106		2.00952		1507.14		-2736.92		-1229.78
		450		4.48994		2.05594		1541.95		-2771.74		-1229.78
		500		4.98883		1.97557		1481.68		-2711.46		-1229.78
		550		5.48771		2.00177		1501.32		-2731.11		-1229.78
		600		5.98659		2.01721		1512.91		-2742.69		-1229.78
		650		6.48547		2.05459		1540.94		-2770.72		-1229.78
		700		6.98436		2.08259		1561.94		-2791.73		-1229.79
		750		7.48324		2.07533		1556.49		-2786.28		-1229.78
		800		7.98212		2.065		1548.75		-2778.53		-1229.78
		850		8.48101		2.04165		1531.24		-2761.02		-1229.78
		900		8.97989		2.08749		1565.61		-2795.4		-1229.78
		950		9.47877		2.10985		1582.39		-2812.17		-1229.78
		1000		9.97765		2.13864		1603.98		-2833.76		-1229.78
		1050		10.4765		2.16753		1625.65		-2855.43		-1229.78
		1100		10.9754		2.18352		1637.64		-2867.43		-1229.79
		1150		11.4743		2.1622		1621.65		-2851.43		-1229.78
		1200		11.9732		2.20208		1651.56		-2881.35		-1229.79
		1250		12.4721		2.06176		1546.32		-2776.1		-1229.78
		1300		12.9709		2.12317		1592.37		-2822.16		-1229.79
		1350		13.4698		2.12505		1593.79		-2823.57		-1229.79
		1400		13.9687		2.02052		1515.39		-2745.17		-1229.78
		1450		14.4676		2.06803		1551.02		-2780.81		-1229.78
		1500		14.9665		2.1119		1583.92		-2813.71		-1229.78
		1550		15.4654		2.15978		1619.83		-2849.62		-1229.78
		1600		15.9642		2.15417		1615.63		-2845.41		-1229.78
		1650		16.4631		2.12602		1594.52		-2824.3		-1229.78
		1700		16.962		2.16409		1623.06		-2852.85		-1229.78
		1750		17.4609		2.24918		1686.88		-2916.67		-1229.78
		1800		17.9598		2.18935		1642.01		-2871.79		-1229.78
		1850		18.4587		2.14629		1609.72		-2839.5		-1229.78
		1900		18.9575		2.15044		1612.83		-2842.61		-1229.78
		1950		19.4564		2.13163		1598.72		-2828.5		-1229.78
		2000		19.9553		2.14612		1609.59		-2839.37		-1229.78
		2050		20.4542		2.11151		1583.63		-2813.41		-1229.78
		2100		20.9531		2.06538		1549.03		-2778.82		-1229.78
		2150		21.452		2.08304		1562.28		-2792.06		-1229.79
		2200		21.9508		2.08259		1561.94		-2791.73		-1229.78
		2250		22.4497		2.12304		1592.28		-2822.07		-1229.78
		2300		22.9486		2.15363		1615.22		-2845		-1229.78
		2350		23.4475		2.14283		1607.13		-2836.91		-1229.78
		2400		23.9464		2.11362		1585.21		-2814.99		-1229.78
		2450		24.4453		2.12401		1593.01		-2822.79		-1229.78
		2500		24.9441		2.15725		1617.94		-2847.72		-1229.78
		2550		25.443		2.16582		1624.37		-2854.15		-1229.78
		2600		25.9419		2.13031		1597.73		-2827.51		-1229.78
		2650		26.4408		2.10949		1582.12		-2811.9		-1229.78
		2700		26.9397		2.12726		1595.44		-2825.23		-1229.78
		2750		27.4385		2.07787		1558.4		-2788.19		-1229.78
		2800		27.9374		2.03177		1523.83		-2753.61		-1229.78
		2850		28.4363		2.05292		1539.69		-2769.47		-1229.78
